used_mb,cached_mb,free_mb
2974.0625,5711.4375,23581.1875
3033.25,5940.0625,23293.5625
3035.3125,5940.3125,23291.25
3034.9375,5940.3125,23291.625
3034.875,5940.3125,23291.6875
3033.625,5940.3125,23292.875
3033.6875,5940.3125,23292.8125
3033.4375,5940.3125,23293.0625
3033.4375,5940.3125,23293.0625
3033.4375,5940.3125,23293.0625
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3033.3125,5940.3125,23293.1875
3042.875,5940.3125,23283.625
3065.375,5940.3125,23261.0
3074.3125,5940.3125,23251.9375
3090.9375,5940.3125,23235.3125
3121.3125,5940.3125,23204.9375
3134.4375,5940.3125,23191.8125
3144.625,5940.25,23181.625
3149.5,5940.3125,23176.75
3169.9375,5940.3125,23156.375
3182.625,5940.3125,23143.625
3189.75,5940.3125,23136.5
3194.625,5940.25,23131.625
3195.25,5940.3125,23131.0
3193.75,5940.3125,23132.5
3196.8125,5940.3125,23129.4375
3196.3125,5940.3125,23129.9375
3196.4375,5940.3125,23129.8125
3199.0625,5940.3125,23127.1875
3199.75,5940.3125,23126.5
3201.4375,5940.3125,23124.8125
3201.3125,5940.3125,23124.9375
3201.3125,5940.3125,23124.9375
3202.5,5940.3125,23123.75
3201.5,5940.3125,23124.75
3201.25,5940.3125,23125.0
3202.75,5940.3125,23123.5
3206.0625,5940.3125,23120.25
3214.8125,5940.3125,23111.4375
3214.8125,5940.3125,23111.4375
3214.8125,5940.3125,23111.4375
3216.6875,5940.3125,23109.5625
3218.375,5940.3125,23107.875
3219.125,5940.3125,23107.0625
3218.5625,5940.3125,23107.625
3220.375,5940.3125,23105.8125
3220.125,5940.3125,23106.0625
3220.0625,5940.3125,23106.0625
3219.6875,5940.3125,23106.4375
3219.8125,5940.4375,23106.25
3221.5,5940.4375,23104.5625
3221.3125,5940.4375,23104.75
3220.3125,5940.5625,23105.75
3221.8125,5940.4375,23104.25
3221.8125,5940.375,23104.25
3223.3125,5940.4375,23102.75
3223.125,5940.4375,23102.9375
3225.1875,5940.4375,23100.875
3228.875,5940.4375,23097.1875
3228.6875,5940.4375,23097.375
3228.6875,5940.4375,23097.375
3230.75,5940.4375,23095.3125
3230.4375,5940.4375,23095.625
3231.375,5940.4375,23094.6875
3232.5625,5940.5,23093.5
3232.5625,5940.5,23093.5
3234.25,5940.5,23091.8125
3234.0625,5940.5,23092.0
3233.9375,5940.5,23092.0
3235.625,5940.5,23090.3125
3235.8125,5940.5,23090.125
3236.0,5940.5,23089.9375
3236.0,5940.5,23089.9375
3236.375,5940.5,23089.5625
3238.1875,5940.5,23087.6875
3238.1875,5940.5,23087.6875
3238.0625,5940.5,23087.8125
3239.625,5940.5,23086.25
3240.1875,5940.5,23085.6875
3243.1875,5940.5,23082.6875
3243.125,5940.5,23082.75
3244.75,5940.5,23081.125
3247.8125,5940.5,23078.0625
3251.75,5940.5,23074.125
3251.75,5940.5,23074.125
3251.75,5940.5,23074.125
3251.75,5940.5,23074.125
3251.75,5940.5,23074.125
3259.5,5940.5,23066.375
3259.3125,5940.5,23066.5625
3259.3125,5940.5,23066.5625
3259.3125,5940.5,23066.5625
3259.1875,5940.5,23066.6875
3259.1875,5940.5,23066.6875
3266.5,5940.5,23059.375
3266.5,5940.5,23059.375
3266.5,5940.5,23059.375
3267.0625,5940.5,23058.8125
3277.9375,5940.5,23047.9375
3277.75,5940.5,23048.125
3282.625,5940.4375,23043.25
3282.625,5940.5625,23043.25
3282.0,5940.5625,23043.625
3282.625,5940.5625,23043.0
3282.4375,5940.5625,23043.1875
3282.625,5940.5625,23043.0
3287.6875,5940.5625,23037.9375
3287.1875,5940.625,23038.4375
3287.0,5940.625,23038.625
3286.8125,5940.625,23038.8125
3286.8125,5940.625,23038.8125
3286.8125,5940.625,23038.8125
3291.875,5940.625,23033.75
3291.4375,5940.625,23034.1875
3291.25,5940.625,23034.375
3291.1875,5940.625,23034.4375
3291.0,5940.625,23034.625
3290.8125,5940.625,23034.8125
3295.6875,5940.625,23029.9375
3295.6875,5940.625,23029.9375
3295.6875,5940.625,23029.9375
3295.875,5940.625,23029.75
3295.875,5940.625,23029.75
3295.875,5940.625,23029.75
3301.0,5940.625,23024.5625
3300.5,5940.625,23025.0625
3300.0625,5940.625,23025.5
3300.0625,5940.625,23025.5
3299.875,5940.625,23025.6875
3299.875,5940.625,23025.6875
3299.9375,5940.625,23025.5625
3304.8125,5940.625,23020.6875
3304.625,5940.625,23020.875
3304.1875,5940.5625,23021.3125
3303.4375,5940.625,23022.0625
3303.4375,5940.625,23022.0625
3303.625,5940.75,23021.875
3308.6875,5940.75,23016.8125
3308.6875,5940.75,23016.8125
3310.5625,5940.75,23014.9375
3310.1875,5940.75,23015.3125
3310.1875,5940.75,23015.3125
3311.875,5940.75,23013.625
3311.875,5940.75,23013.625
3311.5,5940.75,23014.0
3311.125,5940.75,23014.375
3310.9375,5940.8125,23014.5625
3312.4375,5940.8125,23013.0625
3312.4375,5940.8125,23013.0625
3312.3125,5940.8125,23013.1875
3312.375,5940.8125,23013.125
3314.1875,5940.8125,23011.3125
3314.1875,5940.8125,23011.3125
3315.875,5940.8125,23009.625
3315.875,5940.8125,23009.625
3315.5625,5940.8125,23009.9375
3317.1875,5940.8125,23008.3125
3317.1875,5940.8125,23008.3125
3319.0625,5940.8125,23006.4375
3319.0625,5940.8125,23006.4375
3319.25,5940.8125,23006.25
3320.9375,5940.8125,23004.5625
3320.8125,5940.8125,23004.6875
3322.1875,5940.8125,23003.3125
3322.1875,5940.8125,23003.3125
3322.1875,5940.875,23003.3125
3321.875,5940.875,23003.625
3321.875,5940.875,23003.625
3322.0625,5940.875,23003.4375
3323.8125,5940.875,23001.625
3323.8125,5940.875,23001.625
3323.75,5940.875,23001.6875
3323.75,5940.875,23001.6875
3323.75,5940.875,23001.6875
3325.5,5940.9375,22999.9375
3325.6875,5940.9375,22999.75
3325.6875,5940.875,22999.4375
3325.6875,5940.875,22999.4375
3325.25,5940.875,22999.875
3325.25,5940.875,22999.875
3325.25,5940.875,22999.875
3325.25,5940.875,22999.875
3325.5625,5940.875,22999.5625
3335.4375,5940.875,22989.6875
3334.6875,5940.9375,22990.4375
3335.5,5940.9375,22989.5625
3335.125,5940.9375,22989.9375
3335.0625,5940.9375,22990.0
3334.875,5940.9375,22990.1875
3334.875,5940.9375,22990.1875
3334.6875,5940.9375,22990.375
3334.6875,5940.9375,22990.375
3334.3125,5940.9375,22990.75
3334.125,5940.9375,22990.9375
3334.125,5940.9375,22990.9375
3334.125,5940.9375,22990.9375
3334.125,5940.9375,22990.9375
3334.125,5940.9375,22990.9375
3334.125,5940.9375,22990.9375
3333.9375,5940.9375,22991.125
3334.125,5940.9375,22990.9375
3333.8125,5940.9375,22991.25
3333.625,5940.9375,22991.4375
3333.3125,5941.0,22991.6875
3333.3125,5941.0,22991.6875
3333.125,5941.0,22991.875
3333.125,5941.0,22991.875
3333.125,5941.0,22991.875
3332.9375,5941.0,22992.0625
3332.9375,5941.0,22992.0625
3332.9375,5941.0,22992.0625
3332.375,5941.0,22992.625
3332.375,5941.0,22992.625
3332.1875,5941.0625,22992.8125
3332.1875,5941.0625,22992.8125
3332.5625,5941.0625,22992.375
3332.5625,5941.0625,22992.375
3332.5625,5941.0625,22992.375
3332.5625,5941.0625,22992.375
3332.1875,5941.0625,22992.75
3332.1875,5941.0625,22992.75
3332.1875,5941.0625,22992.75
3332.1875,5941.0625,22992.75
3332.1875,5941.0625,22992.75
3332.375,5941.0625,22992.5625
3332.4375,5941.0625,22992.5
3332.0625,5941.0625,22992.875
3331.0,5941.0625,22993.9375
3330.875,5941.0625,22994.0625
3330.8125,5941.0625,22994.125
3330.8125,5941.0625,22994.125
3330.8125,5941.0625,22994.125
3330.4375,5941.0625,22994.5
3330.4375,5941.0625,22994.5
3330.4375,5941.0625,22994.5
3330.375,5941.0625,22994.5625
3330.375,5941.0625,22994.5625
3330.6875,5941.0625,22994.25
3330.5,5941.0625,22994.4375
3330.3125,5941.0625,22994.625
3330.3125,5941.0625,22994.625
3330.3125,5941.0625,22994.625
3330.3125,5941.0625,22994.625
3329.9375,5941.1875,22995.0
3332.9375,5941.1875,22992.0
3332.9375,5941.1875,22992.0
3332.9375,5941.1875,22992.0
3332.75,5941.25,22992.1875
3332.75,5941.25,22992.1875
3332.75,5941.25,22992.1875
3334.625,5941.25,22990.3125
3334.4375,5941.25,22990.5
3335.8125,5941.25,22989.125
3337.6875,5941.25,22987.25
3336.875,5941.25,22988.0625
3338.375,5941.25,22986.5625
3338.375,5941.25,22986.5625
3340.3125,5941.25,22984.625
3340.3125,5941.25,22984.625
3342.0,5941.3125,22982.9375
3343.3125,5941.3125,22981.625
3343.5,5941.3125,22981.4375
3345.0,5941.3125,22979.9375
3344.9375,5941.3125,22980.0
3345.25,5941.3125,22979.6875
3345.25,5941.3125,22979.6875
3346.5,5941.3125,22978.4375
3347.0,5941.3125,22977.9375
3347.0,5941.3125,22977.9375
3347.0,5941.3125,22977.9375
3347.0,5941.3125,22977.9375
3348.875,5941.375,22976.0625
3348.875,5941.375,22976.0625
3348.875,5941.375,22976.0625
3348.75,5941.375,22976.1875
3348.75,5941.375,22976.1875
3350.4375,5941.3125,22974.5
3350.3125,5941.375,22974.625
3349.6875,5941.375,22975.25
3349.875,5941.375,22975.0625
3349.875,5941.375,22975.0625
3349.875,5941.375,22975.0625
3354.0,5941.375,22970.875
3353.8125,5941.375,22971.0625
3353.625,5941.375,22971.25
3353.4375,5941.375,22971.4375
3353.4375,5941.375,22971.4375
3353.25,5941.4375,22971.625
3353.25,5941.4375,22971.625
3353.25,5941.4375,22971.625
3353.25,5941.4375,22971.625
3353.25,5941.4375,22971.625
3352.875,5941.4375,22972.0
3352.875,5941.4375,22972.0
3352.875,5941.4375,22972.0
3352.6875,5941.4375,22972.1875
3352.1875,5941.4375,22972.6875
3352.625,5941.4375,22972.1875
3352.375,5941.4375,22972.4375
3352.3125,5941.4375,22972.5
3352.3125,5941.4375,22972.5
3352.5,5941.4375,22972.3125
3352.5,5941.4375,22972.3125
3352.375,5941.4375,22972.4375
3352.375,5941.4375,22972.4375
3352.375,5941.4375,22972.4375
3352.375,5941.4375,22972.4375
3352.375,5941.4375,22972.4375
3352.375,5941.4375,22972.4375
3352.0,5941.4375,22972.8125
3352.0,5941.5,22972.8125
3352.125,5941.5,22972.6875
3353.75,5941.5,22971.0
3353.9375,5941.5,22970.8125
3353.625,5941.5,22971.125
3353.8125,5941.5,22970.9375
3353.8125,5941.5,22970.9375
3353.8125,5941.5,22970.9375
3353.4375,5941.5,22971.3125
3353.4375,5941.5,22971.3125
3353.25,5941.5,22971.5
3353.25,5941.5,22971.5
3353.4375,5941.5,22971.3125
3353.25,5941.5,22971.5
3353.25,5941.5,22971.5
3353.25,5941.5,22971.5
3353.25,5941.5,22971.5
3354.6875,5941.5,22969.9375
3354.6875,5941.5,22969.9375
3354.5,5941.5,22970.125
3354.3125,5941.5,22970.3125
3354.3125,5941.5,22970.3125
3354.3125,5941.5,22970.3125
3354.3125,5941.5,22970.3125
3353.8125,5941.5625,22970.8125
3353.8125,5941.5625,22970.8125
3353.8125,5941.5625,22970.8125
3369.0,5941.5625,22955.5625
3367.5,5941.5625,22957.0625
3367.5,5941.5625,22957.0625
3367.0625,5941.625,22957.5
3366.875,5941.625,22957.6875
3366.375,5941.625,22958.0625
3366.1875,5941.625,22958.25
3365.375,5941.625,22959.0625
3365.375,5941.625,22959.0625
3364.8125,5941.625,22959.625
