prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,100.11,22.03,16.89,0.05,62.77,4.29,655.79,48,100.0
short_02,short,False,3,82.41,23.13,16.98,0.04,59.49,0.13,657.17,100,100.0
short_03,short,False,3,121.52,14.68,17.0,0.02,59.44,0.07,658.52,100,100.0
short_04,short,False,3,176.56,20.86,16.98,0.1,61.26,3.37,658.52,70.0,100.0
short_05,short,False,3,132.25,19.71,17.0,0.06,59.48,0.27,659.85,95.0,100.0
short_06,short,False,3,149.96,19.47,16.99,0.08,59.6,0.47,659.85,87,100.0
short_07,short,False,3,106.92,20.05,16.99,0.04,59.46,0.15,662.6,100,100.0
short_08,short,False,3,106.62,18.93,16.99,0.04,59.44,0.13,663.98,100,100.0
short_09,short,False,3,108.09,22.25,17.28,0.51,58.48,1.69,666.73,98.0,100.0
short_10,short,False,3,133.24,20.66,16.94,0.12,60.26,1.48,666.73,75,100.0
medium_reasoning_01,medium,True,3,196.38,18.67,17.03,0.03,59.3,0.11,669.44,100,100.0
medium_02,medium,False,3,229.51,18.71,17.04,0.02,59.27,0.05,670.81,100,100.0
medium_03,medium,False,3,956.28,19.25,17.27,0.04,58.49,0.13,672.06,100,100.0
medium_04,medium,False,3,305.2,34.15,17.08,0.03,59.13,0.12,672.06,100,100.0
medium_05,medium,False,3,342.33,15.44,17.12,0.03,59.01,0.11,673.44,100,100.0
medium_06,medium,False,3,303.91,16.19,17.1,0.03,59.06,0.1,674.81,100,100.0
medium_07,medium,False,3,435.86,11.32,17.18,0.03,58.81,0.11,674.81,100,100.0
medium_08,medium,False,3,284.01,11.52,17.09,0.04,59.09,0.14,676.19,100,100.0
medium_09,medium,False,3,350.46,13.01,17.14,0.04,58.94,0.12,677.56,100,100.0
medium_10,medium,False,3,345.65,4.64,17.12,0.04,58.98,0.13,677.56,100,100.0
long_context_01,long,True,3,1847.11,9.69,17.75,0.04,56.9,0.13,678.92,100,100.0
long_02,long,False,3,2664.04,10.46,18.04,0.08,56.0,0.25,682.42,100,0.0
long_03,long,False,3,3205.33,5.66,17.94,0.05,56.32,0.14,684.94,100,0.0
long_04,long,False,3,3916.18,14.17,17.97,0.04,56.21,0.13,687.96,100,0.0
long_05,long,False,3,3658.51,18.29,17.98,0.05,56.16,0.14,689.25,100,0.0
long_06,long,False,3,3687.14,21.0,17.96,0.05,56.24,0.16,690.62,100,0.0
long_07,long,False,3,3725.93,12.61,17.94,0.06,56.3,0.18,692.0,100,0.0
long_08,long,False,3,3724.3,22.89,17.98,0.03,56.18,0.09,694.75,100,0.0
long_09,long,False,3,3908.12,19.47,17.98,0.08,56.18,0.24,696.33,100,0.0
long_10,long,False,3,3908.04,19.64,17.95,0.01,56.27,0.03,697.69,100,0.0
