used_mb,cached_mb,free_mb
2816.0,5505.0625,23971.4375
2823.9375,5505.1875,23963.5
3342.25,5505.1875,23445.125
3342.25,5505.1875,23445.125
3341.5625,5505.1875,23445.8125
3342.6875,5505.1875,23444.6875
3342.625,5505.1875,23444.75
3342.625,5505.1875,23444.75
3342.625,5505.1875,23444.75
3342.75,5505.1875,23444.625
3342.625,5505.125,23444.75
3342.625,5505.1875,23444.75
3342.625,5505.1875,23444.75
3342.625,5505.1875,23444.75
3342.625,5505.1875,23444.75
3342.8125,5505.1875,23444.5625
3342.75,5505.1875,23444.625
3342.75,5505.1875,23444.625
3342.75,5505.1875,23444.625
3347.875,5505.1875,23439.5
3372.25,5505.1875,23414.875
3382.5,5505.1875,23404.625
3400.625,5505.1875,23386.5
3431.75,5505.1875,23355.375
3447.6875,5505.125,23339.4375
3454.6875,5505.1875,23332.4375
3464.0625,5505.1875,23323.0625
3479.8125,5505.1875,23307.3125
3495.375,5505.1875,23291.75
3503.4375,5505.1875,23283.6875
3509.4375,5505.1875,23277.6875
3512.1875,5505.1875,23274.9375
3511.5,5505.1875,23275.625
3511.5,5505.1875,23275.625
3511.875,5505.1875,23275.25
3512.6875,5505.1875,23274.4375
3512.6875,5505.1875,23274.4375
3512.6875,5505.1875,23274.4375
3512.6875,5505.1875,23274.4375
3510.9375,5505.125,23276.1875
3522.25,5505.125,23264.875
3535.25,5505.125,23251.9375
3531.75,5505.1875,23255.375
3531.3125,5505.1875,23255.8125
3531.3125,5505.1875,23255.8125
3531.125,5505.1875,23256.0
3531.125,5505.1875,23256.0
3531.125,5505.1875,23256.0
3531.125,5505.1875,23256.0
3530.75,5505.1875,23256.375
3530.75,5505.1875,23256.25
3544.0625,5505.1875,23242.9375
3544.0625,5505.1875,23242.9375
3543.875,5505.1875,23243.125
3544.25,5505.1875,23242.75
3544.375,5505.1875,23242.625
3544.3125,5505.1875,23242.6875
3544.3125,5505.1875,23242.6875
3544.3125,5505.1875,23242.6875
3544.375,5505.1875,23242.6875
3544.375,5505.1875,23242.6875
3557.6875,5505.1875,23229.375
3557.5,5505.1875,23229.5625
3557.5,5505.1875,23229.5625
3557.125,5505.25,23229.9375
3557.0625,5505.25,23230.0
3558.9375,5505.25,23228.125
3559.0,5505.25,23228.0625
3558.875,5505.25,23228.1875
3558.875,5505.25,23228.1875
3559.0625,5505.25,23228.0
3571.4375,5505.25,23215.625
3571.4375,5505.25,23215.625
