used_mb,cached_mb,free_mb
2980.5625,5391.9375,23900.1875
2986.0,5392.0625,23894.75
3505.375,5392.0625,23375.1875
3504.75,5392.0625,23375.8125
3504.25,5392.0625,23376.3125
3501.75,5392.0625,23378.6875
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.3125,5392.0625,23378.125
3502.25,5392.0625,23378.1875
3508.0625,5392.0625,23372.375
3538.6875,5405.4375,23328.9375
3541.6875,5415.625,23315.9375
3551.9375,5423.6875,23297.5625
3569.875,5428.25,23274.9375
3597.1875,5437.6875,23238.4375
3604.1875,5442.125,23226.8125
3617.875,5445.1875,23210.125
3622.4375,5447.1875,23203.375
3638.875,5451.0,23183.125
3652.375,5464.1875,23156.5
3669.625,5465.9375,23137.5625
3674.125,5467.6875,23130.9375
3674.6875,5467.5625,23130.25
3673.5,5467.5625,23131.4375
3672.3125,5467.5625,23132.625
3672.3125,5467.5,23132.625
3673.25,5467.5625,23131.4375
3672.875,5467.5625,23131.8125
3672.6875,5467.5625,23132.0
3672.5625,5467.5625,23132.125
3685.5,5467.5625,23119.1875
3684.9375,5467.5625,23119.75
3684.625,5467.5625,23120.0625
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3684.4375,5467.5625,23120.25
3695.5,5467.5625,23109.1875
3698.0,5467.5625,23106.6875
3698.0,5467.5625,23106.6875
3697.25,5467.5625,23107.4375
3697.0625,5467.5625,23107.625
3697.0625,5467.5625,23107.625
3697.0625,5467.5,23107.625
3698.0,5467.5625,23106.6875
3698.0,5467.5625,23106.6875
3697.9375,5467.5625,23106.75
3708.8125,5467.5625,23095.875
3710.9375,5467.5625,23093.6875
3710.375,5467.5,23094.25
3710.5,5467.5625,23094.125
3710.5,5467.5625,23094.125
3710.5,5467.5625,23094.125
3712.8125,5467.5625,23091.75
3712.25,5467.5625,23092.3125
3711.6875,5467.5625,23092.875
3711.25,5467.5625,23093.3125
3711.25,5467.5625,23093.3125
3711.4375,5467.5625,23093.125
3711.625,5467.6875,23092.9375
3722.375,5467.6875,23082.1875
3724.8125,5467.6875,23079.75
3724.8125,5467.625,23079.75
3724.5,5467.75,23080.0
3724.3125,5467.75,23080.1875
3724.3125,5467.75,23080.1875
3724.3125,5467.75,23080.1875
3724.3125,5467.75,23080.1875
3726.125,5467.625,23078.3125
3738.9375,5467.625,23065.4375
3738.0625,5467.625,23066.3125
3737.6875,5467.625,23066.6875
3737.625,5467.625,23066.75
3737.625,5467.625,23066.75
3737.625,5467.625,23066.75
3737.625,5467.625,23066.75
3737.625,5467.625,23066.75
3737.625,5467.625,23066.75
3748.6875,5467.625,23055.6875
3750.875,5467.625,23053.5
3751.1875,5467.875,23053.0
3750.1875,5467.9375,23054.0
3750.0,5467.9375,23054.0
3754.6875,5467.9375,23049.3125
3754.6875,5467.9375,23049.3125
3754.4375,5467.9375,23049.5625
3754.3125,5467.875,23049.6875
3765.3125,5467.9375,23038.6875
3768.25,5467.9375,23035.75
3768.375,5468.0,23035.625
3768.375,5468.0,23035.625
3768.375,5468.0,23035.625
3768.375,5468.0,23035.625
3768.375,5468.0,23035.625
3768.375,5468.0,23035.625
3779.1875,5468.0625,23024.75
3781.625,5468.0625,23022.3125
3782.1875,5468.0625,23021.75
3782.0,5468.0625,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3782.0,5468.1875,23021.9375
3792.875,5468.1875,23011.0625
3796.125,5468.1875,23007.6875
3796.125,5468.1875,23007.6875
3796.125,5468.1875,23007.6875
3796.125,5468.0625,23007.6875
3796.0,5468.0625,23007.8125
3795.9375,5468.0625,23007.875
3799.4375,5468.0625,23004.375
3799.25,5468.0625,23004.5625
3799.0,5468.0,23004.8125
3809.75,5468.0625,22994.0625
3811.3125,5468.0625,22992.5
3810.8125,5468.0625,22993.0
3810.8125,5468.1875,22993.0
3810.625,5468.0625,22993.1875
3810.625,5468.0625,22993.1875
3810.625,5468.0625,22993.1875
3810.625,5468.0625,22993.1875
3810.625,5468.0625,22993.1875
3810.625,5468.0625,22993.1875
3810.8125,5468.0625,22993.0
3810.8125,5468.0625,22993.0
3809.875,5468.0625,22993.9375
3820.0,5468.0625,22983.8125
3821.875,5468.0625,22981.9375
3821.4375,5468.0625,22982.375
3821.4375,5468.0625,22982.375
3821.25,5468.0625,22982.5625
3821.25,5468.0625,22982.5625
3821.25,5468.0625,22982.5625
3821.25,5468.0625,22982.5625
3821.25,5468.0625,22982.5625
3832.125,5468.0625,22971.6875
3834.5625,5468.0625,22969.25
3834.5625,5468.0625,22969.25
3834.5625,5468.0625,22969.25
3834.5625,5468.0625,22969.25
3835.375,5468.0625,22968.375
3835.0625,5468.0625,22968.6875
3834.8125,5468.0625,22968.9375
3834.8125,5468.0625,22968.9375
3834.8125,5468.0625,22968.9375
3834.8125,5468.0625,22968.9375
3845.875,5468.0625,22957.875
3849.1875,5468.0625,22954.5625
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3849.0,5468.0625,22954.75
3850.5,5468.0625,22953.25
3850.5,5468.0625,22953.25
3864.8125,5468.0625,22938.9375
3865.5,5468.0625,22938.25
3864.8125,5468.0625,22938.9375
3864.8125,5468.0625,22938.9375
3869.125,5468.125,22934.625
3873.0,5468.125,22930.75
3868.8125,5468.125,22934.9375
3868.5,5468.125,22935.25
3868.5,5468.125,22935.25
3868.5,5468.125,22935.25
3868.5,5468.25,22935.25
3881.8125,5468.25,22921.9375
3901.625,5468.125,22902.0625
3901.625,5468.125,22902.0625
3901.4375,5468.125,22902.25
3901.4375,5468.125,22902.25
3901.4375,5468.125,22902.25
3901.4375,5468.125,22902.25
3901.4375,5468.0625,22902.25
3901.375,5468.125,22902.3125
3901.375,5468.125,22902.3125
3901.3125,5468.125,22902.375
3901.3125,5468.125,22902.375
3901.3125,5468.125,22902.375
3901.3125,5468.125,22902.375
3901.5,5468.125,22902.1875
3917.8125,5468.125,22885.875
3922.625,5468.125,22880.875
3923.0,5468.125,22880.5
3922.75,5468.125,22880.75
3922.9375,5468.25,22880.5625
3922.9375,5468.25,22880.5625
3922.9375,5468.25,22880.5625
3922.9375,5468.25,22880.5625
3922.875,5468.25,22880.625
3922.8125,5468.25,22880.6875
3939.0625,5468.25,22864.4375
3938.625,5468.125,22864.875
3938.625,5468.125,22864.875
3938.625,5468.125,22864.875
3938.625,5468.125,22864.875
3938.625,5468.125,22864.875
3938.625,5468.0625,22864.875
3939.625,5468.125,22863.875
3938.9375,5468.125,22864.5625
3938.5625,5468.125,22864.9375
3938.5625,5468.125,22864.9375
3955.0625,5468.1875,22848.4375
3954.625,5468.1875,22848.875
3954.625,5468.1875,22848.875
3954.625,5468.1875,22848.875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3954.8125,5468.1875,22848.6875
3956.6875,5468.1875,22846.75
3973.0,5468.1875,22830.4375
3972.8125,5468.1875,22830.625
3972.6875,5468.1875,22830.75
3972.6875,5468.1875,22830.75
3972.6875,5468.1875,22830.75
3972.6875,5468.1875,22830.75
3972.6875,5468.1875,22830.75
3972.375,5468.1875,22831.0625
