prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,466.48,16.13,92.73,24.13,11.36,2.68,5969.35,100,66.67
short_02,short,False,3,370.07,27.92,81.04,8.36,12.55,1.25,5983.1,100,100.0
short_03,short,False,3,627.0,13.07,86.43,5.98,11.73,0.82,5995.48,100,100.0
short_04,short,False,3,890.4,3.31,96.05,22.1,10.88,2.36,6009.14,100,66.67
short_05,short,False,3,750.37,197.84,72.11,2.18,14.02,0.43,6024.17,100,100.0
short_06,short,False,3,769.87,26.97,88.77,12.87,11.55,1.8,6036.54,100,100.0
short_07,short,False,3,497.59,11.87,97.89,10.4,10.39,1.05,6053.04,100,66.67
short_08,short,False,3,618.55,221.58,95.39,24.41,11.11,3.1,6065.42,100,66.67
short_09,short,False,3,521.51,46.15,80.71,7.58,12.59,1.17,6077.79,100,100.0
short_10,short,False,3,647.43,8.46,98.74,13.91,10.37,1.47,6091.54,100,66.67
medium_reasoning_01,medium,True,3,1022.21,21.58,85.28,10.42,11.97,1.54,6106.67,100,100.0
medium_02,medium,False,3,1204.48,15.19,96.51,22.37,10.83,2.35,6120.35,100,66.67
medium_03,medium,False,3,4152.85,12.94,102.28,6.01,9.9,0.6,6132.9,100,0.0
medium_04,medium,False,3,1597.96,10.75,81.49,8.61,12.48,1.25,6152.92,100,100.0
medium_05,medium,False,3,1756.27,11.8,80.74,6.59,12.57,1.06,6157.9,100,100.0
medium_06,medium,False,3,1619.86,21.95,97.67,18.68,10.63,2.24,6164.71,100,33.33
medium_07,medium,False,3,2295.25,36.71,81.88,13.21,12.54,1.87,6169.73,100,0.0
medium_08,medium,False,3,1548.74,12.91,78.96,3.21,12.81,0.53,6188.98,100,100.0
medium_09,medium,False,3,1807.73,23.27,80.97,11.77,12.64,1.72,6192.13,100,100.0
medium_10,medium,False,3,1802.35,7.46,78.97,2.15,12.8,0.35,6200.1,100,100.0
long_context_01,long,True,3,8524.92,15.98,95.72,24.46,10.98,2.48,6206.11,100,0.0
long_02,long,False,3,13026.78,163.13,95.14,16.79,10.86,2.09,6213.87,100,0.0
long_03,long,False,3,14912.99,7.72,87.68,13.41,11.7,1.81,6226.02,100,0.0
long_04,long,False,3,18615.91,15.3,118.33,22.8,8.76,1.72,6243.37,100,0.0
long_05,long,False,3,17554.76,9.88,100.59,21.67,10.34,2.04,6260.1,100,0.0
long_06,long,False,3,17705.65,2.96,79.93,7.58,12.71,1.16,6279.06,100,0.0
long_07,long,False,3,18031.68,50.92,81.59,10.18,12.5,1.46,6294.81,100,0.0
long_08,long,False,3,17867.75,25.56,100.49,18.96,10.33,2.19,6312.44,100,0.0
long_09,long,False,3,18930.44,14.02,93.42,15.17,10.99,1.65,6328.31,100,0.0
long_10,long,False,3,18929.65,16.86,81.26,4.15,12.45,0.64,6347.6,100,0.0
