used_mb,cached_mb,free_mb
2962.5,5487.875,23829.1875
2971.125,5487.0,23821.5
3489.625,5487.0,23302.9375
3489.625,5487.0,23302.9375
3489.4375,5487.0,23303.125
3488.9375,5487.0,23303.625
3489.4375,5487.0,23303.125
3489.4375,5487.0,23303.125
3489.4375,5487.0,23303.125
3489.25,5487.0,23303.3125
3489.4375,5487.0,23303.125
3489.25,5487.0,23303.3125
3489.25,5487.0,23303.3125
3489.4375,5487.0,23303.125
3489.4375,5487.0,23303.125
3489.25,5487.0,23303.3125
3489.25,5487.0,23303.3125
3489.25,5487.0,23303.3125
3489.25,5487.0,23303.3125
3500.1875,5487.0,23292.4375
3520.8125,5487.5625,23271.375
3530.6875,5488.1875,23260.75
3552.3125,5488.3125,23239.0
3581.875,5488.3125,23209.4375
3593.6875,5488.3125,23197.625
3608.625,5488.4375,23182.5625
3613.0,5488.4375,23178.1875
3632.3125,5488.4375,23158.875
3644.875,5488.4375,23146.3125
3651.1875,5488.4375,23140.0
3659.0,5488.5,23132.125
3667.4375,5488.5,23123.6875
3666.375,5488.5,23124.75
3666.1875,5488.5,23124.9375
3665.5,5488.5,23125.625
3665.1875,5488.5,23125.9375
3666.3125,5488.5,23124.8125
3666.3125,5488.5,23124.8125
3666.3125,5488.5,23124.8125
3665.75,5488.5,23125.375
3677.75,5488.5,23113.375
3680.1875,5488.5,23110.9375
3680.1875,5488.5,23110.9375
3679.375,5488.5,23111.75
3679.375,5488.5,23111.75
3679.375,5488.5,23111.75
3679.375,5488.5,23111.75
3679.375,5488.5,23111.75
3678.8125,5488.5,23112.3125
3678.8125,5488.5,23112.3125
3690.0625,5488.5,23101.0625
3695.0,5488.5,23096.0
3694.625,5488.5,23096.375
3693.75,5488.5,23097.25
3693.1875,5488.5,23097.8125
3693.1875,5488.5,23097.8125
3693.1875,5488.4375,23097.8125
3693.75,5488.5,23097.0625
3693.5625,5488.5,23097.25
3693.5625,5488.5,23097.25
3693.5625,5488.5,23097.25
3706.9375,5488.5,23083.75
3706.9375,5488.5,23083.75
3706.9375,5488.5,23083.75
3706.9375,5488.5,23083.75
3706.9375,5488.5,23083.75
3706.375,5488.5,23084.3125
3706.375,5488.5,23084.3125
3706.375,5488.5,23084.3125
3706.375,5488.5,23084.3125
3705.625,5488.5,23085.0625
3719.0625,5488.5,23071.625
3719.0625,5488.5,23071.625
3719.0625,5488.5,23071.625
3718.875,5488.5,23071.8125
3718.875,5488.5,23071.8125
3719.0625,5488.5,23071.625
3719.0625,5488.5,23071.625
3719.0625,5488.5,23071.625
3719.0,5488.5,23071.6875
3718.3125,5488.5,23072.375
3734.6875,5488.4375,23055.9375
3733.5625,5488.5,23057.0625
3734.1875,5488.5,23056.4375
3734.1875,5488.5,23056.4375
3734.1875,5488.5,23056.4375
3734.1875,5488.5,23056.4375
3734.0,5488.5,23056.625
3734.0,5488.5,23056.625
3734.0,5488.5,23056.625
3734.0,5488.5,23056.625
3744.5,5488.5,23046.125
3748.375,5488.5,23042.25
3748.125,5488.5,23042.5
3749.0,5488.5,23041.625
3748.875,5488.5,23041.5
3751.8125,5488.5,23038.5625
3751.8125,5488.5,23038.5625
3751.0625,5488.5,23039.3125
3750.6875,5488.4375,23039.6875
3750.6875,5488.5,23039.6875
3750.875,5488.5,23039.5
3765.125,5488.5,23025.25
3765.125,5488.5,23025.25
3766.625,5488.5,23023.75
3766.4375,5488.5,23023.9375
3766.4375,5488.5,23023.9375
3766.4375,5488.5,23023.9375
3766.4375,5488.5,23023.9375
3766.4375,5488.5,23023.9375
3766.25,5488.5,23024.125
3767.6875,5488.5,23022.625
3778.5625,5488.5,23011.75
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3781.3125,5488.5,23009.0
3792.1875,5488.5,22998.125
3795.0,5488.5,22995.3125
3794.8125,5488.5,22995.5
3795.0,5488.5,22995.3125
3796.6875,5488.5,22993.5625
3796.125,5488.5,22994.125
3796.125,5488.5,22994.125
3795.9375,5488.5,22994.3125
3795.875,5488.5,22994.375
3795.625,5488.5,22994.625
3795.5,5488.5,22994.75
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.1875,5488.5,22981.0625
3809.0625,5488.5,22981.1875
3809.5625,5488.5,22980.625
3809.5625,5488.5,22980.625
3823.0,5488.5,22967.1875
3823.0,5488.5,22967.1875
3823.0,5488.5,22967.1875
3823.0,5488.5,22967.1875
3822.8125,5488.5,22967.375
3822.25,5488.5,22967.9375
3821.6875,5488.5,22968.5
3821.6875,5488.5,22968.5
3821.625,5488.5625,22968.5
3821.625,5488.5625,22968.5
3832.5,5488.5625,22957.625
3835.3125,5488.5625,22954.8125
3835.25,5488.5625,22954.875
3836.875,5488.5625,22953.1875
3836.3125,5488.5625,22953.75
3835.75,5488.5625,22954.3125
3835.75,5488.5625,22954.3125
3835.6875,5488.5625,22954.375
3835.6875,5488.5625,22954.375
3835.5,5488.5625,22954.5625
3846.375,5488.5625,22943.6875
3849.1875,5488.5625,22940.875
3847.875,5488.5625,22942.1875
3847.625,5488.5625,22942.4375
3847.5625,5488.5625,22942.5
3847.5625,5488.5625,22942.5
3847.5625,5488.5625,22942.5
3849.25,5488.5625,22940.8125
3849.0,5488.5625,22941.0625
3849.0,5488.5625,22941.0625
3848.625,5488.5625,22941.4375
3859.6875,5488.5625,22930.375
3865.125,5488.5625,22924.9375
3871.75,5488.5625,22918.3125
3875.3125,5488.5625,22914.75
3871.75,5488.5625,22918.3125
3871.375,5488.5625,22918.6875
3871.375,5488.5625,22918.6875
3870.8125,5488.5625,22919.25
3870.8125,5488.5625,22919.25
3870.625,5488.5625,22919.4375
3870.4375,5488.5625,22919.625
3870.25,5488.5625,22919.8125
3899.375,5488.5625,22890.5625
3898.8125,5488.5625,22891.125
3898.5,5488.5625,22891.4375
3898.125,5488.5625,22891.8125
3897.75,5488.5625,22892.1875
3897.5,5488.5625,22892.4375
3897.1875,5488.5625,22892.75
3897.0,5488.5625,22892.9375
3896.625,5488.5625,22893.3125
3896.625,5488.5625,22893.3125
3896.625,5488.5625,22893.3125
3896.625,5488.5625,22893.3125
3896.4375,5488.5625,22893.5
3896.4375,5488.5625,22893.5
3895.875,5488.5625,22894.0625
3913.625,5488.625,22876.3125
3920.875,5488.5625,22869.0625
3920.8125,5488.5625,22869.125
3920.8125,5488.5625,22869.125
3920.625,5488.5625,22869.3125
3920.5,5488.5,22869.4375
3920.5,5488.5625,22869.4375
3920.5,5488.5625,22869.4375
3919.75,5488.5625,22870.1875
3919.75,5488.5625,22870.1875
3919.75,5488.5625,22870.1875
3919.75,5488.5625,22870.1875
3935.6875,5488.5625,22854.25
3935.5,5488.5625,22854.4375
3935.125,5488.5625,22854.8125
3934.25,5488.5625,22855.625
3933.6875,5488.5625,22856.1875
3933.6875,5488.5625,22856.1875
3933.6875,5488.5625,22856.1875
3933.6875,5488.5625,22856.1875
3933.125,5488.5625,22856.75
3933.875,5488.5625,22856.0
3933.6875,5488.5625,22856.1875
3933.6875,5488.5625,22856.1875
3950.0625,5488.5625,22839.8125
3950.8125,5488.625,22839.0625
3949.6875,5488.625,22840.1875
3949.5,5488.625,22840.375
3949.4375,5488.625,22840.4375
3949.0625,5488.625,22840.8125
3948.3125,5488.625,22841.5625
3948.3125,5488.625,22841.5625
3947.6875,5488.625,22842.1875
3947.625,5488.625,22842.25
3947.625,5488.625,22842.25
3947.625,5488.625,22842.25
3963.9375,5488.625,22825.9375
3964.125,5488.625,22825.75
3963.9375,5488.625,22825.9375
3963.9375,5488.625,22825.9375
3963.9375,5488.625,22825.9375
