prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,608.56,4.71,90.39,0.08,11.17,0.01,5773.79,100,100.0
short_02,short,False,3,462.51,0.54,90.34,0.1,11.18,0.01,5787.52,100,100.0
short_03,short,False,3,816.33,6.23,90.41,0.08,11.17,0.01,5801.15,100,100.0
short_04,short,False,3,1238.46,1.23,90.51,0.08,11.16,0.01,5817.4,100,100.0
short_05,short,False,3,743.08,0.9,90.39,0.09,11.17,0.01,5832.52,100,100.0
short_06,short,False,3,1025.75,5.05,90.45,0.08,11.17,0.01,5846.27,100,100.0
short_07,short,False,3,672.49,0.55,90.39,0.1,11.17,0.01,5860.0,100,100.0
short_08,short,False,3,672.49,0.53,90.4,0.09,11.17,0.01,5875.1,100,100.0
short_09,short,False,3,672.78,0.72,90.39,0.09,11.17,0.01,5890.1,100,100.0
short_10,short,False,3,882.86,0.39,90.45,0.1,11.17,0.01,5903.79,100,100.0
medium_reasoning_01,medium,True,3,1448.96,0.69,90.56,0.09,11.15,0.02,5920.61,100,100.0
medium_02,medium,False,3,1732.68,4.64,90.6,0.09,11.15,0.01,5934.33,100,100.0
medium_03,medium,False,3,5975.65,5.15,91.23,0.13,11.07,0.02,5944.83,100,0.0
medium_04,medium,False,3,2293.59,0.59,90.73,0.11,11.13,0.01,5967.06,100,0.0
medium_05,medium,False,3,2586.06,3.13,90.8,0.11,11.12,0.01,5972.46,100,0.0
medium_06,medium,False,3,2374.87,2.82,90.74,0.11,11.13,0.01,5979.65,100,0.0
medium_07,medium,False,3,3361.35,4.12,90.96,0.1,11.1,0.02,5984.98,100,0.0
medium_08,medium,False,3,2222.99,0.68,90.72,0.1,11.14,0.02,6001.48,100,0.0
medium_09,medium,False,3,2656.3,3.13,90.8,0.1,11.12,0.01,6007.92,100,0.0
medium_10,medium,False,3,2656.66,2.96,90.8,0.1,11.13,0.02,6013.44,100,0.0
long_context_01,long,True,3,11790.6,3.98,92.42,0.09,10.93,0.01,6023.65,100,0.0
long_02,long,False,3,18473.88,5.69,95.26,0.12,10.6,0.02,6034.04,100,0.0
long_03,long,False,3,23883.74,10.89,96.22,0.23,10.5,0.03,6047.54,100,0.0
long_04,long,False,3,28395.08,8.3,96.16,0.18,10.51,0.02,6063.92,100,0.0
long_05,long,False,3,27139.88,21.49,96.16,0.44,10.5,0.05,6082.98,100,0.0
long_06,long,False,3,27530.5,40.43,95.99,0.4,10.52,0.05,6102.06,100,0.0
long_07,long,False,3,27631.48,40.58,96.1,0.6,10.51,0.07,6118.0,100,0.0
long_08,long,False,3,27550.47,10.19,96.31,0.27,10.49,0.03,6137.79,100,0.0
long_09,long,False,3,29046.94,90.52,96.7,1.39,10.45,0.15,6046.0,100,0.0
long_10,long,False,3,28992.79,4.05,96.07,0.36,10.51,0.04,6066.79,100,0.0
