used_mb,cached_mb,free_mb
2944.5625,5203.4375,24144.4375
3467.75,5252.25,23572.5625
3467.375,5252.25,23572.875
3467.0625,5252.25,23573.1875
3465.5625,5252.25,23574.5
3465.5625,5252.25,23574.5
3465.5625,5252.25,23574.5
3465.5625,5252.25,23574.5
3465.5625,5252.25,23574.5
3465.5625,5252.25,23574.5
3465.5,5252.25,23574.5625
3465.5,5252.25,23574.5625
3465.5,5252.25,23574.5625
3465.5,5252.25,23574.5625
3465.5,5252.25,23574.5625
3465.5,5252.25,23574.5625
3465.25,5252.25,23574.8125
3465.25,5252.25,23574.8125
3465.9375,5252.25,23574.125
3484.9375,5259.125,23548.1875
3493.9375,5270.6875,23527.9375
3502.6875,5283.1875,23507.9375
3505.3125,5292.3125,23495.3125
3511.625,5300.375,23481.25
3516.625,5306.8125,23470.0
3519.125,5339.625,23434.4375
3527.6875,5344.625,23422.0625
3528.5,5347.375,23418.5
3533.625,5368.5625,23392.875
3543.0,5375.9375,23376.5625
3553.8125,5378.0625,23363.4375
3556.5625,5385.875,23352.75
3563.375,5387.4375,23344.3125
3566.4375,5396.0,23333.6875
3567.8125,5399.4375,23328.4375
3568.75,5401.375,23325.625
3571.0,5406.375,23318.8125
3573.0625,5409.75,23313.375
3577.3125,5414.9375,23303.875
3579.375,5417.75,23298.9375
3582.5625,5421.5625,23292.1875
3584.4375,5425.875,23285.875
3587.5625,5431.8125,23276.75
3595.375,5439.8125,23260.3125
3609.375,5447.8125,23238.5625
3617.25,5456.4375,23221.875
3622.5,5471.4375,23201.625
3628.625,5478.9375,23188.5
3633.8125,5484.9375,23175.4375
3632.8125,5485.0,23175.375
3632.625,5485.0,23175.5625
3632.3125,5485.0,23175.875
3631.9375,5485.0,23176.25
3631.9375,5485.0,23176.25
3631.9375,5485.0,23176.25
3631.875,5485.0,23176.3125
3631.8125,5485.0,23176.375
3631.8125,5485.0,23176.375
3631.9375,5485.0,23176.25
3631.9375,5485.0,23176.25
3631.75,5485.0,23176.4375
3631.75,5485.0,23176.4375
3631.75,5485.0,23176.4375
3631.75,5485.0,23176.4375
3632.0,5485.0,23176.0
3632.0,5485.0,23176.0
3632.0,5485.0,23176.0
3645.6875,5485.0,23162.3125
3645.9375,5485.0,23162.0625
3645.4375,5485.0,23162.5625
3645.375,5485.0,23162.625
3645.375,5485.0,23162.625
3645.1875,5485.0,23162.8125
3645.1875,5485.0,23162.8125
3658.6875,5485.0,23149.375
3653.6875,5485.0,23154.375
3653.6875,5485.0,23154.375
3653.6875,5485.0,23154.375
3653.6875,5485.0,23154.375
3654.625,5485.0,23153.4375
3654.4375,5485.0,23153.625
3654.1875,5485.0,23153.875
3654.1875,5485.0,23153.875
3654.1875,5485.0,23153.875
3654.1875,5485.0,23153.875
3665.25,5485.0,23142.8125
3667.6875,5485.0,23140.375
3667.5625,5485.0,23140.5
3667.5625,5485.0,23140.5
3667.3125,5485.0,23140.75
3667.3125,5485.0,23140.75
3667.3125,5485.0,23140.75
3667.3125,5485.0,23140.75
3668.625,5485.0,23139.4375
3668.8125,5485.0,23139.1875
3668.8125,5485.0,23139.1875
3668.75,5485.0,23139.25
3668.5625,5485.0,23139.4375
3668.5625,5485.0,23139.4375
3668.6875,5485.0625,23139.25
3668.125,5485.0625,23139.8125
3668.125,5485.0625,23139.8125
3668.125,5485.0625,23139.8125
3668.0625,5485.0625,23139.8125
3681.1875,5485.0625,23126.4375
3681.1875,5485.0625,23126.4375
3681.0625,5485.0625,23126.5625
3681.0625,5485.0625,23126.5625
3680.8125,5485.125,23126.75
3681.75,5485.125,23125.8125
3681.5625,5485.125,23126.0
3681.375,5485.125,23126.1875
3681.375,5485.125,23126.1875
3681.5,5485.125,23126.0625
3681.5,5485.125,23126.0625
3681.5,5485.125,23126.0625
3681.5,5485.125,23126.0625
3681.5,5485.125,23126.0625
3681.5,5485.125,23126.0625
3681.3125,5485.125,23126.25
3681.3125,5485.125,23126.25
3681.3125,5485.125,23126.25
3681.125,5485.125,23126.4375
3695.6875,5485.125,23111.8125
3696.0,5485.125,23111.5
3695.5625,5485.125,23111.9375
3695.5,5485.125,23112.0
3695.125,5485.125,23112.375
3695.125,5485.125,23112.375
3695.125,5485.125,23112.375
3695.125,5485.125,23112.375
3694.9375,5485.125,23112.5625
3694.9375,5485.125,23112.5625
3694.9375,5485.125,23112.5625
3694.875,5485.125,23112.625
3694.875,5485.125,23112.625
3694.6875,5485.125,23112.8125
3694.6875,5485.125,23112.8125
3696.1875,5485.125,23111.3125
3694.875,5485.125,23112.625
3694.875,5485.125,23112.625
3708.3125,5485.125,23099.1875
3708.25,5485.125,23099.25
3707.3125,5485.125,23100.1875
3707.125,5485.125,23100.375
3707.125,5485.125,23100.375
3707.0625,5485.125,23100.4375
3707.0625,5485.125,23100.4375
3707.0625,5485.125,23100.4375
3707.25,5485.125,23100.25
3707.25,5485.125,23100.25
3707.25,5485.125,23100.25
3708.875,5485.125,23098.625
3708.875,5485.125,23098.625
