prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,1181.97,5.83,170.45,0.08,5.93,0.01,5972.38,100,0.0
short_02,short,False,3,924.35,36.61,170.39,0.03,5.93,0.0,5986.13,100,0.0
short_03,short,False,3,1601.08,20.62,170.5,0.06,5.92,0.01,5998.5,100,0.0
short_04,short,False,3,2453.9,25.35,170.66,0.04,5.92,0.0,6013.27,100,0.0
short_05,short,False,3,1460.93,19.97,170.47,0.05,5.93,0.01,6028.39,100,0.0
short_06,short,False,3,2018.37,18.92,170.62,0.04,5.92,0.0,6040.77,100,0.0
short_07,short,False,3,1330.01,16.73,170.48,0.06,5.92,0.01,6055.9,100,0.0
short_08,short,False,3,1326.53,15.71,170.51,0.06,5.92,0.01,6069.65,100,0.0
short_09,short,False,3,1321.01,20.31,170.49,0.06,5.92,0.01,6082.02,100,0.0
short_10,short,False,3,1740.09,21.21,170.59,0.07,5.92,0.0,6095.77,100,0.0
medium_reasoning_01,medium,True,3,2868.48,16.65,170.79,0.07,5.91,0.01,6110.89,100,0.0
medium_02,medium,False,3,3430.44,20.68,170.93,0.07,5.91,0.0,6124.81,100,0.0
medium_03,medium,False,3,10432.5,15.98,172.09,0.09,5.87,0.0,6134.96,100,0.0
medium_04,medium,False,3,4565.23,25.81,171.1,0.05,5.9,0.01,6155.29,100,0.0
medium_05,medium,False,3,5127.9,21.57,171.21,0.06,5.9,0.0,6160.06,100,0.0
medium_06,medium,False,3,4706.16,17.05,171.11,0.08,5.9,0.01,6166.87,100,0.0
medium_07,medium,False,3,6663.15,17.89,171.51,0.04,5.89,0.0,6172.44,100,0.0
medium_08,medium,False,3,4406.41,16.09,171.08,0.07,5.9,0.01,6190.15,100,0.0
medium_09,medium,False,3,5256.82,1.81,171.23,0.06,5.9,0.0,6194.98,100,0.0
medium_10,medium,False,3,5251.75,3.44,171.24,0.1,5.9,0.0,6201.58,100,0.0
long_context_01,long,True,3,23281.39,6.91,174.18,0.02,5.8,0.0,6211.46,100,0.0
long_02,long,False,3,35495.8,13.26,179.54,0.15,5.63,0.01,6222.0,100,0.0
long_03,long,False,3,44663.75,17.14,181.76,0.22,5.56,0.01,6233.56,100,0.0
long_04,long,False,3,53825.67,11.56,181.64,0.18,5.56,0.01,6250.29,100,0.0
long_05,long,False,3,51110.72,1.21,182.03,0.92,5.55,0.03,6265.69,100,0.0
long_06,long,False,3,51551.18,16.1,181.91,0.14,5.55,0.01,6284.65,100,0.0
long_07,long,False,3,53189.5,29.12,182.01,0.21,5.55,0.01,6300.4,100,0.0
long_08,long,False,3,51976.27,51.11,181.8,0.12,5.56,0.01,6318.02,100,0.0
long_09,long,False,3,54679.19,29.65,181.32,0.2,5.57,0.01,6334.9,100,0.0
long_10,long,False,3,54675.09,20.54,181.78,0.1,5.56,0.01,6354.19,100,0.0
