prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,138.95,41.57,27.96,0,47.69,0,18.06,2,100.0
short_02,short,False,3,76.63,41.39,0,0,0,0,18.06,1,100.0
short_03,short,False,3,171.85,88.06,28.04,0,36.81,0,18.06,11.0,100.0
short_04,short,False,3,164.9,189.8,27.87,0,39.14,0,18.06,5.0,100.0
short_05,short,False,3,216.46,40.49,0,0,0,0,18.06,1,100.0
short_06,short,False,3,236.41,145.9,28.2,0.23,36.58,1.36,18.06,40.0,100.0
short_07,short,False,3,98.68,73.78,0,0,0,0,18.06,1,100.0
short_08,short,False,3,142.59,67.81,28.32,0,35.67,0,18.06,34,100.0
short_09,short,False,3,190.37,15.89,28.04,0,36.56,0,18.06,14.0,100.0
short_10,short,False,3,140.07,140.78,28.35,0,35.63,0,18.06,34,100.0
medium_reasoning_01,medium,True,3,432.15,16.27,28.46,0.02,35.5,0.02,18.06,100,100.0
medium_02,medium,False,3,234.37,302.53,27.96,0,39.74,0,18.06,4,100.0
medium_03,medium,False,3,683.22,1082.41,28.63,0.15,36.04,0.71,18.06,40.0,100.0
medium_04,medium,False,3,266.62,362.2,28.21,0.01,36.67,0.19,18.06,31.0,100.0
medium_05,medium,False,3,312.62,443.38,0,0,0,0,18.06,1,100.0
medium_06,medium,False,3,279.19,385.58,28.28,0.15,36.63,0.89,18.06,38.0,100.0
medium_07,medium,False,3,399.25,596.28,0,0,0,0,18.06,1,100.0
medium_08,medium,False,3,463.26,343.97,28.45,0.19,35.68,0.49,18.06,50.0,100.0
medium_09,medium,False,3,318.28,456.05,28.3,0.07,36.76,0.75,18.06,30.0,100.0
medium_10,medium,False,3,303.95,433.8,28.19,0,37.44,0,18.06,7,100.0
long_context_01,long,True,3,1517.58,2531.33,0,0,0,0,18.06,1,66.67
long_02,long,False,3,2183.17,3673.59,32.97,0.55,31.99,0.18,18.06,14.0,66.67
long_03,long,False,3,3116.26,5284.39,0,0,0,0,18.06,1,66.67
long_04,long,False,3,3677.82,6257.93,36.7,0,27.97,0,18.06,14.0,66.67
long_05,long,False,3,3455.47,5869.73,35.68,0.06,28.91,0.3,18.06,23,66.67
long_06,long,False,3,3581.69,6091.8,33.33,0,31.37,0,18.06,8.0,66.67
long_07,long,False,3,3536.08,6011.81,36.28,0,27.91,0,18.06,27,66.67
long_08,long,False,3,4127.61,7036.9,35.48,0.08,29.5,1.52,18.06,38,66.67
long_09,long,False,3,3692.21,6287.04,37.27,2.44,27.61,1.47,18.06,29.0,66.67
long_10,long,False,3,4117.09,7027.77,34.77,1.8,30.23,1.82,18.06,15.0,66.67
