prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,406.93,16.6,86.6,24.08,12.21,2.94,16.35,100,66.67
short_02,short,False,3,303.52,20.04,103.9,22.94,10.01,1.99,16.35,100,66.67
short_03,short,False,3,683.42,153.85,91.31,16.57,11.32,2.19,16.35,100,66.67
short_04,short,False,3,867.45,13.45,81.53,16.21,12.7,2.31,16.35,100,100.0
short_05,short,False,3,546.25,9.33,84.68,5.5,11.96,0.75,16.35,100,100.0
short_06,short,False,3,742.69,4.05,83.76,19.92,12.48,2.62,16.35,100,66.67
short_07,short,False,3,447.55,9.41,83.85,15.55,12.32,2.19,16.35,100,66.67
short_08,short,False,3,449.55,8.79,101.37,23.81,10.38,2.66,16.35,100,33.33
short_09,short,False,3,441.12,0.28,78.42,4.37,12.91,0.73,16.35,100,100.0
short_10,short,False,3,641.88,0.46,84.55,13.29,12.15,1.97,16.35,100,100.0
medium_reasoning_01,medium,True,3,1007.92,6.52,85.22,9.65,11.95,1.27,16.35,100,100.0
medium_02,medium,False,3,1198.31,2.19,90.19,17.88,11.5,2.32,16.35,100,66.67
medium_03,medium,False,3,1453.07,2326.12,76.79,4.84,13.19,0.84,16.35,100,66.67
medium_04,medium,False,3,1608.5,17.77,86.55,11.85,11.82,1.6,16.35,100,100.0
medium_05,medium,False,3,661.28,960.46,82.7,14.07,12.44,1.96,16.35,100,100.0
medium_06,medium,False,3,604.11,884.62,93.43,2.65,10.82,0.31,16.35,100,100.0
medium_07,medium,False,3,824.95,1264.39,90.99,29.27,11.79,3.21,16.35,100,33.33
medium_08,medium,False,3,1532.54,1.48,81.14,7.81,12.53,1.28,16.35,100,100.0
medium_09,medium,False,3,671.03,997.63,77.3,5.81,13.12,1.03,16.35,100,100.0
medium_10,medium,False,3,668.28,990.62,89.13,10.28,11.44,1.33,16.35,100,100.0
long_context_01,long,True,3,2898.92,4848.41,131.74,38.96,8.08,2.13,16.27,100,0.0
long_02,long,False,3,4441.0,7499.68,105.64,39.27,10.39,3.36,14.94,100,66.67
long_03,long,False,3,5042.68,8532.15,89.57,22.45,11.71,2.6,14.94,100,33.33
long_04,long,False,3,6285.25,10675.96,101.92,19.51,10.19,2.17,15.5,100,33.33
long_05,long,False,3,6088.38,9960.02,93.07,6.6,10.89,0.76,15.5,100,33.33
long_06,long,False,3,5976.09,10142.25,88.57,7.22,11.45,0.9,15.5,100,66.67
long_07,long,False,3,6078.84,10321.07,82.41,6.25,12.31,0.96,15.5,100,66.67
long_08,long,False,3,6025.94,10226.64,89.14,5.2,11.36,0.66,15.5,100,66.67
long_09,long,False,3,6385.28,10850.58,98.56,20.07,10.52,2.04,15.5,100,33.33
long_10,long,False,3,6386.05,10849.91,101.76,21.27,10.22,2.13,15.5,100,33.33
