prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,105.89,0.96,17.04,0.04,59.52,0.45,845.96,53,100.0
short_02,short,False,3,84.71,0.6,17.09,0.05,59.11,0.16,845.96,67,100.0
short_03,short,False,3,164.82,0.11,17.15,0,58.91,0,848.71,34,100.0
short_04,short,False,3,205.22,0.7,17.17,0,58.84,0,848.71,34,100.0
short_05,short,False,3,144.72,0.98,17.05,0,59.83,0,850.0,18.0,100.0
short_06,short,False,3,174.13,0.7,17.15,0,58.89,0,850.0,34,100.0
short_07,short,False,3,114.23,0.45,0,0,0,0,851.37,1,100.0
short_08,short,False,3,112.74,0.6,0,0,0,0,851.37,1,100.0
short_09,short,False,3,113.85,2.03,17.03,0.04,60.41,1.71,851.37,41,100.0
short_10,short,False,3,164.4,0.35,17.15,0,58.9,0,851.37,34,100.0
medium_reasoning_01,medium,True,3,225.6,0.68,17.15,0.01,58.9,0.06,852.75,67,100.0
medium_02,medium,False,3,306.69,1.51,17.26,0.01,58.55,0.01,855.5,67,100.0
medium_03,medium,False,3,1185.14,1.26,17.29,0.04,59.85,0.31,858.1,20.0,100.0
medium_04,medium,False,3,358.59,0.54,17.13,0.12,59.77,1.1,858.1,56.0,100.0
medium_05,medium,False,3,429.72,0.57,0,0,0,0,859.33,1,100.0
medium_06,medium,False,3,378.92,0.6,0,0,0,0,859.33,1,100.0
medium_07,medium,False,3,563.2,0.69,17.19,0.02,59.64,0.49,859.33,29,100.0
medium_08,medium,False,3,349.35,5.56,17.12,0.13,60.34,2.35,860.71,40,100.0
medium_09,medium,False,3,440.17,0.98,17.21,0.14,59.8,2.02,860.71,41,100.0
medium_10,medium,False,3,460.66,0.25,0,0,0,0,862.08,1,100.0
long_context_01,long,True,3,2231.11,0.88,0,0,0,0,866.79,1,0.0
long_02,long,False,3,3267.45,0.65,19.68,0,52.92,0,869.54,9,0.0
long_03,long,False,3,4976.94,0.49,19.79,0,52.4,0,872.16,10,0.0
long_04,long,False,3,5916.57,0.35,0,0,0,0,875.5,1,0.0
long_05,long,False,3,5774.33,2.45,19.8,0.05,52.13,0.82,878.16,24,0.0
long_06,long,False,3,5796.82,1.83,0,0,0,0,880.91,1,0.0
long_07,long,False,3,5903.34,2.0,0,0,0,0,884.54,1,0.0
long_08,long,False,3,6455.07,2.13,19.89,0.18,51.53,0.51,889.48,28,0.0
long_09,long,False,3,6045.31,2.73,19.85,0,51.95,0,892.12,12.0,0.0
long_10,long,False,3,6444.86,2.8,19.82,0,52.19,0,894.87,11.0,0.0
