user,system,iowait
1.7,0.3,0.0
21.2,0.5,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.9,0.2,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.4,0.3,0.0
1.7,0.5,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.4,0.4,0.0
0.4,0.5,0.0
0.5,0.6,0.0
0.0,0.4,0.0
0.5,0.6,0.0
0.2,0.5,0.0
0.1,0.4,0.0
8.9,0.3,0.0
0.2,0.3,0.0
0.1,0.3,0.0
0.1,0.2,0.0
0.3,0.4,0.0
0.8,0.3,0.0
0.3,0.3,0.0
0.1,0.2,0.0
0.3,0.2,0.0
0.1,0.1,0.0
0.0,0.0,0.0
0.1,0.2,0.0
0.2,0.2,0.0
0.1,0.5,0.0
0.1,0.3,0.0
0.1,0.3,0.0
0.2,0.7,0.0
0.3,0.3,0.0
0.2,0.3,0.0
0.4,0.6,0.0
1.1,0.5,0.0
1.3,0.3,0.0
0.9,0.5,0.0
0.5,0.6,0.0
0.6,0.9,0.0
1.3,0.2,0.0
0.5,0.4,0.0
0.2,0.5,0.0
0.4,0.3,0.0
10.0,0.4,0.0
33.3,0.0,0.0
33.1,0.2,0.0
32.8,0.1,0.0
32.6,0.0,0.0
33.3,0.0,0.0
34.1,0.1,0.0
32.6,0.1,0.0
33.2,0.1,0.0
33.2,0.1,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.5,0.1,0.0
20.4,0.3,0.0
24.7,0.0,0.0
33.3,0.0,0.0
33.2,0.2,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
32.8,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.0,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.8,0.2,0.0
14.7,0.1,0.0
33.1,0.0,0.0
33.0,0.1,0.0
33.3,0.1,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.3,0.3,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.1,0.0,0.0
16.0,0.2,0.0
23.4,0.2,0.0
33.3,0.0,0.0
32.9,0.0,0.0
33.3,0.0,0.0
33.2,0.2,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.1,0.0
33.1,0.0,0.0
33.7,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.1,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
14.3,0.4,0.0
33.3,0.1,0.0
33.3,0.0,0.0
33.1,0.1,0.0
33.1,0.1,0.0
33.5,0.0,0.0
33.2,0.1,0.0
34.2,0.2,0.0
33.1,0.1,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.5,0.1,0.0
33.3,0.1,0.0
33.0,0.1,0.0
33.3,0.0,0.0
14.1,0.2,0.0
33.3,0.0,0.0
32.9,0.0,0.0
33.3,0.0,0.0
33.7,0.2,0.0
33.5,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.2,0.1,0.0
33.2,0.1,0.0
33.1,0.0,0.0
33.3,0.0,0.0
15.2,0.4,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.0,0.0,0.0
33.2,0.1,0.0
33.4,0.2,0.0
33.1,0.1,0.0
33.2,0.1,0.0
33.1,0.0,0.0
33.1,0.0,0.0
14.3,0.2,0.0
33.4,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
32.8,0.1,0.0
33.9,0.1,0.0
33.3,0.0,0.0
33.3,0.1,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
14.2,0.3,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.7,0.4,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
32.8,0.1,0.0
33.3,0.0,0.0
33.2,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.1,0.0,0.0
21.0,0.3,0.0
26.4,0.0,0.0
33.8,0.1,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.0,0.0,0.0
33.3,0.0,0.0
33.0,0.0,0.0
33.5,0.2,0.0
33.4,0.0,0.0
33.3,0.1,0.0
14.4,0.2,0.0
33.3,0.0,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.4,0.2,0.0
32.9,0.0,0.0
33.3,0.0,0.0
33.4,0.3,0.0
33.6,0.0,0.0
33.3,0.0,0.0
33.4,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
27.9,0.2,0.0
18.8,0.1,0.0
32.7,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.5,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.5,0.2,0.0
33.3,0.0,0.0
32.9,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.1,0.0,0.0
33.6,0.1,0.0
35.0,0.4,0.0
35.1,0.1,0.0
33.3,0.1,0.0
15.6,0.3,0.0
32.0,0.0,0.0
33.3,0.0,0.0
33.1,0.0,0.0
33.3,0.0,0.0
33.8,0.1,0.0
32.8,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
32.8,0.1,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.3,0.0,0.0
33.2,0.1,0.0
33.0,0.1,0.0
33.3,0.0,0.0
33.2,0.1,0.0
20.4,0.2,0.0
27.6,0.2,0.0
33.4,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
33.3,0.0,0.0
32.8,0.1,0.0
33.3,0.1,0.0
33.2,0.1,0.0
33.3,0.1,0.0
32.8,0.1,0.0
33.3,0.0,0.0
33.3,0.1,0.0
33.1,0.1,0.0
33.4,0.1,0.0
33.3,0.2,0.0
33.6,0.3,0.0
33.4,0.1,0.0
33.1,0.2,0.0
33.1,0.1,0.0
29.9,0.2,0.0
17.6,0.2,0.0
33.3,0.1,0.0
33.4,0.0,0.0
33.1,0.1,0.0
33.3,0.2,0.0
33.4,0.1,0.0
33.4,0.1,0.0
33.3,0.1,0.0
33.3,0.2,0.0
33.3,0.2,0.0
33.1,0.7,0.0
33.3,0.2,0.0
33.4,0.2,0.0
33.1,0.1,0.0
33.4,0.1,0.0
33.4,0.2,0.0
33.3,0.2,0.0
