used_mb,cached_mb,free_mb
2790.5625,5259.875,24244.0
3304.6875,5260.0,23729.875
3306.75,5260.0,23727.75
3306.5625,5260.0,23727.9375
3305.6875,5260.0,23728.8125
3305.375,5260.0,23729.0625
3305.1875,5260.0,23729.25
3305.1875,5260.0,23729.25
3305.1875,5260.0,23729.25
3305.375,5260.0,23729.0625
3305.375,5260.0,23729.0625
3305.3125,5260.0,23729.125
3305.3125,5260.0,23729.125
3305.3125,5260.0,23729.125
3305.3125,5260.0,23729.125
3304.1875,5260.0,23730.25
3304.0625,5260.0,23730.375
3304.0625,5259.9375,23730.375
3315.25,5260.375,23718.75
3321.25,5262.9375,23710.125
3322.25,5267.875,23704.4375
3326.3125,5273.125,23695.0625
3332.8125,5279.4375,23682.1875
3336.9375,5285.75,23671.6875
3341.9375,5292.625,23660.4375
3344.0625,5297.625,23653.6875
3354.0,5302.4375,23640.375
3360.625,5309.9375,23626.3125
3360.5625,5316.6875,23620.125
3369.3125,5349.4375,23578.25
3374.8125,5350.5625,23571.875
3373.375,5356.5625,23567.9375
3378.5,5368.375,23550.375
3385.0625,5379.0,23533.125
3386.9375,5384.5625,23525.0625
3392.875,5387.5625,23516.4375
3404.1875,5388.75,23503.8125
3403.625,5396.8125,23496.3125
3406.375,5399.5,23491.0625
3406.375,5399.4375,23491.0625
3407.5625,5402.25,23486.9375
3410.1875,5406.3125,23480.5625
3412.0625,5408.875,23475.875
3413.4375,5410.875,23472.3125
3415.375,5414.125,23467.4375
3417.1875,5417.25,23461.8125
3418.4375,5419.5625,23457.75
3422.3125,5423.0,23450.625
3426.8125,5426.9375,23442.75
3429.6875,5431.9375,23434.875
3434.25,5439.3125,23423.875
3445.3125,5446.0625,23406.3125
3460.875,5455.0,23382.5625
3466.0625,5477.0,23355.625
3468.375,5479.75,23350.625
3471.6875,5481.625,23345.9375
3472.125,5485.875,23341.25
3478.3125,5486.5,23335.0625
3473.6875,5491.1875,23333.9375
3475.0625,5491.6875,23330.625
3474.875,5491.6875,23330.8125
3474.875,5491.6875,23330.8125
3474.875,5491.6875,23330.8125
3474.4375,5491.6875,23331.25
3474.0625,5491.6875,23331.625
3472.9375,5491.6875,23331.625
3472.9375,5491.6875,23331.625
3472.9375,5491.6875,23331.625
3472.8125,5491.6875,23331.75
3472.75,5491.75,23331.8125
3472.75,5491.75,23331.8125
3472.75,5491.75,23331.8125
3472.5625,5491.75,23332.0
3472.5625,5491.75,23332.0
3472.5625,5491.75,23332.0
3472.5625,5491.75,23332.0
3472.375,5491.75,23332.1875
3483.0,5491.75,23321.125
3485.25,5491.75,23318.875
3484.9375,5491.75,23319.1875
3484.6875,5491.75,23319.375
3484.125,5491.75,23319.9375
3483.9375,5491.75,23320.125
3484.0625,5491.75,23320.0
3483.875,5491.75,23320.1875
3483.6875,5491.6875,23320.375
3483.875,5491.75,23320.1875
3483.75,5491.75,23320.3125
3483.75,5491.75,23320.3125
3483.75,5491.75,23320.3125
3483.75,5491.75,23320.3125
3483.75,5491.75,23320.3125
3483.625,5491.75,23320.4375
3483.625,5491.75,23320.4375
3483.25,5491.75,23320.8125
3494.6875,5491.75,23308.75
3497.4375,5491.75,23306.0
3497.4375,5491.75,23306.0
3497.4375,5491.75,23306.0
3496.9375,5491.75,23306.1875
3497.125,5491.75,23306.0
3497.0,5491.75,23306.125
3497.0,5491.75,23306.125
3497.0,5491.75,23306.125
3497.0,5491.75,23306.125
3496.9375,5491.75,23306.1875
3496.9375,5491.75,23306.1875
3496.8125,5491.75,23306.3125
3496.8125,5491.75,23306.3125
3497.4375,5491.75,23305.6875
3497.4375,5491.625,23305.6875
3497.625,5491.75,23305.5
3497.625,5491.75,23305.5
3498.5,5491.75,23304.625
3509.375,5491.75,23293.75
3511.625,5491.75,23291.5
3511.625,5491.75,23291.5
3511.625,5491.75,23291.5
3511.4375,5491.75,23291.6875
3511.8125,5491.75,23291.3125
3511.625,5491.75,23291.5
3511.8125,5491.75,23291.3125
3511.8125,5491.75,23291.3125
3511.8125,5491.75,23291.3125
3511.8125,5491.75,23291.3125
3511.375,5491.75,23291.75
3511.1875,5491.75,23291.9375
3510.8125,5491.75,23292.3125
3510.75,5491.75,23292.375
3510.75,5491.75,23292.375
3510.75,5491.75,23292.375
3510.75,5491.75,23292.375
3521.625,5491.75,23281.5
3524.25,5491.75,23278.875
3524.125,5491.75,23279.0
3523.875,5491.75,23279.25
3523.875,5491.75,23279.25
3524.0625,5491.75,23279.0625
3523.6875,5491.75,23279.4375
3537.5625,5491.6875,23265.375
3535.8125,5491.75,23267.0625
3535.8125,5491.75,23267.0625
3535.8125,5491.75,23267.0625
3535.625,5491.75,23267.25
3535.8125,5491.75,23267.0625
3535.625,5491.75,23267.25
3535.625,5491.75,23267.25
3535.8125,5491.75,23267.0625
3535.8125,5491.75,23267.0625
3535.8125,5491.75,23267.0625
3549.125,5491.75,23253.75
3549.25,5491.75,23253.625
3548.5625,5491.75,23254.3125
3548.75,5491.75,23254.125
3548.1875,5491.75,23254.6875
3548.1875,5491.75,23254.6875
3548.1875,5491.75,23254.6875
3548.1875,5491.75,23254.6875
3547.8125,5491.75,23255.0625
3547.8125,5491.75,23255.0625
3547.8125,5491.75,23255.0625
3547.6875,5491.75,23255.1875
3547.6875,5491.75,23255.1875
3547.6875,5491.75,23255.1875
3547.6875,5491.75,23255.1875
3547.6875,5491.75,23255.1875
3547.375,5491.75,23255.5
3547.3125,5491.75,23255.5625
3547.3125,5491.75,23255.5625
3559.0,5491.75,23243.75
3563.25,5491.75,23239.25
3563.4375,5491.75,23239.0625
3564.375,5491.75,23238.125
3564.1875,5491.75,23238.3125
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3563.625,5491.75,23238.875
3563.8125,5491.75,23238.6875
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0,5491.75,23238.5
3564.0625,5491.75,23238.4375
3563.6875,5491.75,23238.8125
3563.5625,5491.75,23238.9375
3563.75,5491.75,23238.75
3578.3125,5491.75,23224.1875
3578.3125,5491.75,23224.1875
3579.625,5491.8125,23222.875
3579.5625,5491.8125,23222.9375
3579.375,5491.8125,23223.125
3579.5625,5491.8125,23222.9375
3579.5,5491.8125,23223.0
3579.3125,5491.8125,23223.1875
3579.5,5491.8125,23223.0
3579.5,5491.8125,23223.0
3580.0,5491.8125,23222.4375
3580.1875,5491.8125,23222.25
3580.1875,5491.8125,23222.25
3580.0,5491.8125,23222.4375
3580.0,5491.8125,23222.4375
3579.8125,5491.8125,23222.625
3579.75,5491.8125,23222.6875
3579.5625,5491.8125,23222.875
3579.625,5491.8125,23222.8125
3593.3125,5491.8125,23209.125
3593.3125,5491.8125,23209.125
3593.25,5491.8125,23209.1875
3593.25,5491.8125,23209.1875
3593.25,5491.8125,23209.1875
3593.25,5491.8125,23209.1875
3594.6875,5491.8125,23207.75
3594.6875,5491.8125,23207.75
3594.6875,5491.8125,23207.75
3594.3125,5491.8125,23208.125
3594.6875,5491.8125,23207.75
3594.6875,5491.8125,23207.75
3594.125,5491.8125,23208.3125
3594.125,5491.8125,23208.3125
3594.125,5491.8125,23208.3125
3594.125,5491.8125,23208.3125
3594.3125,5491.8125,23208.125
3594.3125,5491.8125,23208.125
3594.0,5491.8125,23208.4375
3593.8125,5491.8125,23208.625
3608.25,5491.8125,23194.1875
3607.625,5491.8125,23194.8125
3607.625,5491.8125,23194.8125
3607.625,5491.8125,23194.8125
3607.5625,5491.8125,23194.875
3607.1875,5491.8125,23195.25
3607.1875,5491.8125,23195.25
3607.0,5491.8125,23195.4375
3607.1875,5491.8125,23195.25
3607.0,5491.8125,23195.4375
3606.3125,5491.8125,23196.125
3606.3125,5491.8125,23196.125
3606.5,5491.8125,23195.9375
3606.5,5491.8125,23195.9375
3606.25,5491.8125,23196.1875
3606.25,5491.8125,23196.1875
3605.875,5491.8125,23196.1875
3605.875,5491.8125,23196.1875
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.125,5491.8125,23182.9375
3619.3125,5491.8125,23182.75
3620.75,5491.8125,23181.3125
3620.75,5491.8125,23181.3125
3620.75,5491.8125,23181.3125
3620.375,5491.8125,23181.6875
3620.25,5491.8125,23181.75
3620.25,5491.8125,23181.75
3620.25,5491.8125,23181.75
3620.25,5491.8125,23181.75
3620.25,5491.8125,23181.75
3620.25,5491.8125,23181.75
3634.0,5491.8125,23168.0
3633.875,5491.8125,23168.125
3633.875,5491.8125,23168.125
3633.8125,5491.8125,23168.1875
3633.8125,5491.8125,23168.1875
3633.8125,5491.8125,23168.1875
3633.8125,5491.8125,23168.1875
3633.125,5492.5625,23168.125
3633.3125,5492.5625,23167.9375
3633.5625,5492.5625,23167.6875
3633.5625,5492.5625,23167.6875
3633.5625,5492.5625,23167.6875
3633.5625,5492.5625,23167.6875
3633.1875,5492.5625,23168.0625
3633.3125,5492.5625,23167.9375
3640.8125,5492.5625,23160.4375
3641.1875,5492.5625,23160.0625
3633.6875,5492.5625,23167.5625
3633.6875,5492.5625,23167.5625
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5,23153.875
3647.375,5492.5625,23153.875
3647.375,5492.5625,23153.875
