used_mb,cached_mb,free_mb
3012.375,6367.8125,22884.125
3018.6875,6367.9375,22877.75
3068.0625,12334.0625,16863.5
3594.5625,14275.0625,14395.75
3594.5625,14275.0625,14395.75
3593.6875,14275.0625,14396.625
3593.6875,14275.0625,14396.625
3593.5,14275.0625,14396.8125
3593.4375,14275.0625,14396.875
3593.3125,14275.0625,14397.0
3593.125,14275.0625,14397.1875
3593.3125,14275.0625,14397.0
3593.3125,14275.0625,14397.0
3593.0,14275.0625,14397.3125
3592.9375,14275.0625,14397.375
3592.75,14275.0625,14397.5625
3592.75,14275.0625,14397.5625
3592.75,14275.0625,14397.5625
3592.75,14275.0625,14397.5625
3599.9375,14275.125,14390.375
3622.5625,14275.9375,14366.875
3630.5625,14276.875,14358.0625
3641.0625,14277.75,14346.75
3673.8125,14277.875,14313.8125
3692.1875,14278.75,14294.5
3703.8125,14278.9375,14282.6875
3713.0625,14279.0625,14273.125
3724.4375,14279.125,14261.75
3741.25,14279.4375,14244.5625
3750.125,14279.5625,14235.5625
3755.125,14279.9375,14230.25
3755.75,14280.0,14229.5625
3759.125,14279.9375,14226.1875
3758.8125,14279.9375,14226.5
3757.875,14279.9375,14227.4375
3757.8125,14279.9375,14227.4375
3757.8125,14279.9375,14227.4375
3757.625,14279.9375,14227.625
3757.4375,14279.9375,14227.8125
3757.3125,14279.9375,14227.9375
3768.9375,14279.9375,14216.3125
3773.4375,14279.9375,14211.625
3772.5,14279.9375,14212.5625
3771.75,14279.9375,14213.3125
3771.75,14279.9375,14213.3125
3771.5625,14279.9375,14213.5
3771.5625,14279.9375,14213.5
3771.375,14279.9375,14213.6875
3771.375,14279.9375,14213.6875
3771.375,14279.9375,14213.6875
3784.5625,14279.9375,14200.5
3784.5625,14279.9375,14200.5
3784.9375,14279.9375,14200.125
3784.9375,14279.9375,14200.125
3784.75,14279.9375,14200.3125
3784.75,14279.9375,14200.3125
3784.75,14279.9375,14200.3125
3784.75,14279.9375,14200.3125
3785.25,14279.9375,14199.8125
3798.5625,14279.9375,14186.5
3798.3125,14279.9375,14186.75
3798.1875,14279.9375,14186.75
3797.6875,14279.9375,14187.25
3797.6875,14279.9375,14187.25
3797.6875,14279.9375,14187.25
3797.6875,14279.9375,14187.25
3797.6875,14279.9375,14187.25
3797.6875,14279.9375,14187.25
3808.125,14279.9375,14176.8125
3810.125,14279.9375,14174.8125
3810.125,14279.9375,14174.8125
3810.125,14279.9375,14174.8125
3809.9375,14279.9375,14175.0
3809.9375,14279.9375,14175.0
3809.9375,14279.9375,14175.0
3809.9375,14279.9375,14175.0
3809.9375,14279.9375,14175.0
3820.625,14279.9375,14164.3125
3823.5,14279.9375,14161.4375
3822.8125,14279.9375,14162.125
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3821.875,14279.9375,14163.0625
3838.75,14279.9375,14146.1875
3838.0,14279.9375,14146.9375
3836.875,14279.9375,14148.0625
3836.75,14279.9375,14148.1875
3836.75,14279.9375,14148.1875
3836.6875,14279.9375,14148.25
3836.6875,14279.9375,14148.25
3836.6875,14279.9375,14148.25
3836.6875,14279.9375,14148.25
3852.625,14279.9375,14132.3125
3854.125,14279.9375,14130.8125
3854.125,14279.9375,14130.8125
3853.75,14279.9375,14131.1875
3853.75,14279.9375,14131.1875
3853.75,14279.9375,14131.1875
3853.5625,14279.9375,14131.375
3853.5625,14279.9375,14131.375
3853.5625,14279.9375,14131.375
3864.4375,14279.9375,14120.5
3867.25,14279.9375,14117.6875
3867.25,14279.9375,14117.6875
3867.25,14279.9375,14117.6875
3867.25,14279.9375,14117.6875
3867.25,14279.9375,14117.6875
3867.25,14279.9375,14117.6875
3866.875,14279.9375,14118.0625
3866.875,14279.9375,14118.0625
3866.875,14279.9375,14118.0625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3881.3125,14279.9375,14103.625
3888.25,14279.9375,14096.6875
3891.625,14279.9375,14093.3125
3905.5,14279.9375,14079.4375
3903.125,14279.9375,14081.5
3903.125,14279.9375,14081.5
3902.875,14279.9375,14081.75
3902.875,14279.9375,14081.75
3902.625,14279.9375,14082.0
3902.375,14279.9375,14082.25
3902.375,14279.9375,14082.25
3902.1875,14279.9375,14082.4375
3916.125,14279.9375,14068.5
3915.9375,14279.9375,14068.6875
3917.25,14279.9375,14067.3125
3917.0625,14279.9375,14067.5
3916.875,14279.9375,14067.6875
3916.5,14279.9375,14068.0625
3916.5,14279.9375,14068.0625
3916.5,14279.9375,14068.0625
3916.5,14279.9375,14068.0625
3927.375,14279.9375,14057.1875
3929.875,14279.9375,14054.6875
3929.875,14279.9375,14054.6875
3929.625,14279.9375,14054.9375
3928.9375,14279.9375,14055.625
3928.5625,14279.9375,14056.0
3928.1875,14279.9375,14056.375
3928.1875,14279.9375,14056.375
3928.0,14279.9375,14056.5625
3939.25,14279.875,14045.3125
3942.6875,14279.9375,14041.875
3942.0625,14280.0,14042.4375
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3941.6875,14280.0,14042.8125
3958.75,14280.0,14025.75
3958.25,14280.0,14026.25
3957.5625,14280.0625,14026.9375
3957.375,14280.0625,14027.125
3957.125,14280.0625,14027.375
3957.125,14280.0625,14027.375
3956.75,14280.0625,14027.75
3956.75,14280.0625,14027.75
3956.75,14280.0625,14027.75
3967.4375,14280.0625,14017.0625
3984.6875,14280.0625,13999.8125
3983.6875,14280.0625,14000.8125
3983.75,14280.0,14000.75
3983.75,14280.0,14000.75
3983.9375,14280.0,14000.5625
3985.625,14280.0,13998.875
3985.625,14280.0,13998.875
3985.5625,14280.0,13998.9375
3985.5625,14280.0,13998.9375
3985.5625,14280.0,13998.9375
3985.375,14280.0,13999.125
4001.6875,14280.0,13982.8125
4005.625,14280.0,13978.875
4005.625,14280.0,13978.875
4005.625,14280.0,13978.875
4005.625,14280.0,13978.875
4005.625,14280.0,13978.875
4005.4375,14280.0,13979.0625
4005.4375,14280.0,13979.0625
4005.5,14280.0,13978.875
4006.125,14280.0,13978.1875
4022.3125,14280.0,13962.0
4021.8125,14280.0,13962.5
4021.1875,14280.0625,13963.125
4021.1875,14280.0625,13963.125
4021.0625,14280.0625,13963.25
4021.0625,14280.0625,13963.25
4021.0625,14280.0625,13963.25
4021.0625,14280.0625,13963.25
4020.9375,14280.0625,13963.375
4020.8125,14280.0625,13963.5
4036.75,14280.0625,13947.5625
4037.3125,14280.125,13947.0
4036.875,14280.125,13947.375
4038.1875,14280.125,13946.0625
4040.3125,14280.125,13943.9375
4040.125,14280.125,13944.125
4040.125,14280.125,13944.125
4040.125,14280.125,13944.125
4040.125,14280.125,13944.125
4038.375,14280.125,13945.875
4054.875,14280.125,13929.375
4054.8125,14280.125,13929.4375
4054.9375,14280.125,13929.3125
4054.875,14280.125,13929.375
4054.875,14280.125,13929.375
4054.875,14280.125,13929.375
4054.875,14280.125,13929.375
4054.875,14280.125,13929.375
4054.875,14280.125,13929.375
4055.0625,14280.125,13929.1875
4071.375,14280.125,13912.875
4073.0,14280.125,13911.1875
4073.0,14280.125,13911.1875
4073.0,14280.125,13911.1875
4072.9375,14280.125,13911.25
4072.9375,14280.125,13911.25
4072.9375,14280.125,13911.25
4072.9375,14280.125,13911.25
4072.9375,14280.125,13911.25
4072.9375,14280.125,13911.25
4089.25,14280.125,13894.9375
4089.1875,14280.0625,13895.0
4089.375,14280.125,13894.8125
4090.6875,14280.125,13893.4375
4090.8125,14280.125,13893.3125
4090.5625,14280.125,13893.5625
4090.375,14280.125,13893.75
4090.125,14280.125,13894.0
4090.125,14280.125,13894.0
4090.125,14280.125,13894.0
4107.1875,14280.125,13876.9375
4107.375,14280.125,13876.75
4107.375,14280.125,13876.75
4107.1875,14280.125,13876.9375
4107.1875,14280.125,13876.9375
4107.1875,14280.125,13876.9375
