prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,271.82,13.22,84.44,0.33,11.96,0.05,9427.6,100,100.0
short_02,short,False,3,213.73,16.27,84.02,0.67,12.03,0.1,9439.98,100,100.0
short_03,short,False,3,337.28,15.93,84.31,0.05,11.98,0.01,9455.0,100,100.0
short_04,short,False,3,493.98,22.67,84.27,0.09,11.99,0.01,9468.46,100,100.0
short_05,short,False,3,313.57,17.17,84.45,0.4,11.96,0.06,9484.96,100,100.0
short_06,short,False,3,411.57,15.55,84.36,0.05,11.97,0.01,9497.33,100,100.0
short_07,short,False,3,293.81,27.46,84.18,0.04,12.0,0.01,9511.08,100,100.0
short_08,short,False,3,284.78,10.42,84.27,0.07,11.99,0.01,9526.21,100,100.0
short_09,short,False,3,278.48,0.3,84.04,0.21,12.02,0.03,9538.58,100,100.0
short_10,short,False,3,356.0,4.95,84.15,0.24,12.0,0.03,9550.96,100,100.0
medium_reasoning_01,medium,True,3,556.15,0.56,84.31,0.12,11.98,0.02,9567.46,100,100.0
medium_02,medium,False,3,655.21,0.47,84.47,0.15,11.96,0.02,9579.81,100,100.0
medium_03,medium,False,3,2994.22,2.84,84.9,0.1,11.9,0.02,9591.67,100,0.0
medium_04,medium,False,3,856.95,0.31,84.37,0.2,11.97,0.03,9612.12,100,100.0
medium_05,medium,False,3,966.95,3.45,84.48,0.06,11.96,0.01,9617.1,100,100.0
medium_06,medium,False,3,891.55,3.76,84.43,0.08,11.97,0.01,9623.94,100,100.0
medium_07,medium,False,3,1244.64,3.45,84.35,0.45,11.98,0.06,9628.96,100,100.0
medium_08,medium,False,3,834.42,7.89,84.23,0.2,11.99,0.03,9646.83,100,100.0
medium_09,medium,False,3,1002.75,21.96,84.88,0.38,11.9,0.05,9651.35,100,100.0
medium_10,medium,False,3,1006.32,21.57,84.29,0.67,11.98,0.09,9657.96,100,100.0
long_context_01,long,True,3,5380.73,18.75,85.58,0.45,11.81,0.06,9668.48,100,0.0
long_02,long,False,3,8282.94,15.9,89.05,0.08,11.34,0.01,9676.98,100,0.0
long_03,long,False,3,11945.73,16.76,89.78,0.07,11.25,0.01,9689.21,100,0.0
long_04,long,False,3,13661.84,17.32,90.04,0.08,11.22,0.01,9704.46,100,0.0
long_05,long,False,3,13098.62,27.48,89.36,0.37,11.3,0.05,9721.14,100,0.0
long_06,long,False,3,13323.81,7.79,89.71,0.15,11.26,0.02,9738.73,100,0.0
long_07,long,False,3,13159.83,7.18,90.02,0.24,11.22,0.03,9755.85,100,0.0
long_08,long,False,3,13245.17,8.77,89.96,0.17,11.23,0.02,9772.11,100,0.0
long_09,long,False,3,13970.2,19.41,89.9,0.17,11.24,0.02,9790.06,100,0.0
long_10,long,False,3,13974.43,18.91,89.94,0.26,11.23,0.04,9809.21,100,0.0
