used_mb,cached_mb,free_mb
2865.0625,6822.1875,22593.3125
2871.5,6822.3125,22586.875
2923.125,12942.3125,16415.25
3451.75,14729.3125,14100.5
3451.625,14729.3125,14100.625
3451.5,14729.3125,14100.75
3451.5,14729.3125,14100.75
3451.5,14729.3125,14100.75
3451.5,14729.3125,14100.75
3451.5,14729.3125,14100.75
3451.1875,14729.3125,14101.0625
3451.1875,14729.3125,14101.0625
3451.125,14729.3125,14101.125
3449.6875,14729.3125,14102.5
3449.6875,14729.3125,14102.5
3449.6875,14729.3125,14102.5
3449.625,14729.3125,14102.5625
3449.625,14729.3125,14102.5625
3449.625,14729.3125,14102.5625
3460.4375,14729.3125,14091.75
3484.9375,14729.3125,14067.25
3494.3125,14729.3125,14057.75
3514.1875,14729.3125,14037.8125
3545.125,14729.3125,14006.875
3553.9375,14729.3125,13998.0625
3570.375,14729.3125,13981.625
3574.6875,14729.3125,13977.3125
3592.875,14729.3125,13959.125
3608.75,14729.3125,13943.25
3615.3125,14729.3125,13936.6875
3623.875,14729.3125,13928.125
3624.0,14729.3125,13928.0
3623.9375,14729.3125,13928.0625
3623.75,14729.3125,13928.25
3623.75,14729.3125,13928.25
3623.6875,14729.3125,13928.3125
3623.6875,14729.3125,13928.3125
3623.6875,14729.3125,13928.3125
3623.6875,14729.3125,13928.3125
3624.125,14729.3125,13927.875
3637.25,14729.3125,13914.75
3637.125,14729.3125,13914.875
3637.125,14729.3125,13914.875
3636.5,14729.3125,13915.5
3637.5,14729.3125,13914.5
3637.5,14729.3125,13914.5
3637.5,14729.3125,13914.5
3637.125,14729.3125,13914.875
3636.9375,14729.3125,13915.0625
3647.8125,14729.3125,13904.1875
3650.4375,14729.3125,13901.5625
3650.4375,14729.3125,13901.5625
3650.3125,14729.3125,13901.6875
3650.3125,14729.3125,13901.6875
3650.3125,14729.3125,13901.6875
3650.3125,14729.3125,13901.6875
3650.3125,14729.3125,13901.6875
3650.3125,14729.3125,13901.6875
3648.625,14729.3125,13903.375
3661.9375,14729.3125,13890.0625
3661.75,14729.3125,13890.25
3661.5625,14729.3125,13890.4375
3660.8125,14729.3125,13891.1875
3660.8125,14729.3125,13891.1875
3660.8125,14729.3125,13891.1875
3660.625,14729.3125,13891.375
3660.625,14729.3125,13891.375
3660.625,14729.3125,13891.375
3660.625,14729.3125,13891.375
3674.0,14729.3125,13878.0
3674.0,14729.3125,13878.0
3673.875,14729.3125,13878.125
3673.75,14729.3125,13878.25
3674.8125,14729.3125,13877.1875
3674.625,14729.3125,13877.375
3674.5625,14729.3125,13877.4375
3674.375,14729.3125,13877.625
3674.0,14729.3125,13878.0
3674.0,14729.3125,13878.0
3687.6875,14729.3125,13864.3125
3687.4375,14729.3125,13864.5625
3687.25,14729.3125,13864.75
3687.25,14729.3125,13864.75
3687.25,14729.3125,13864.75
3687.25,14729.3125,13864.75
3687.25,14729.3125,13864.75
3687.25,14729.3125,13864.75
3687.4375,14729.3125,13864.5625
3687.0625,14729.3125,13864.9375
3702.8125,14729.3125,13849.1875
3702.8125,14729.3125,13849.1875
3703.875,14729.3125,13848.125
3704.4375,14729.3125,13847.5625
3704.375,14729.3125,13847.625
3704.25,14729.3125,13847.625
3704.25,14729.3125,13847.625
3704.25,14729.3125,13847.625
3704.25,14729.3125,13847.625
3704.4375,14729.25,13847.4375
3720.5,14729.3125,13831.375
3720.5,14729.3125,13831.375
3720.4375,14729.3125,13831.4375
3720.4375,14729.3125,13831.4375
3730.625,14729.3125,13821.3125
3730.4375,14729.3125,13821.5
3730.4375,14729.3125,13821.5
3730.4375,14729.3125,13821.5
3730.4375,14729.3125,13821.5
3730.4375,14729.3125,13821.5
3744.125,14729.3125,13807.8125
3744.0,14729.3125,13807.9375
3744.0,14729.3125,13807.9375
3744.0,14729.3125,13807.9375
3744.0,14729.3125,13807.9375
3744.0,14729.3125,13807.9375
3744.0,14729.3125,13807.9375
3744.0625,14729.25,13807.9375
3744.875,14728.625,13807.75
3743.375,14728.625,13809.25
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.4375,14728.625,13795.1875
3757.5,14728.6875,13795.1875
3771.375,14728.6875,13781.3125
3771.125,14728.6875,13781.5625
3771.0,14728.6875,13781.6875
3770.9375,14728.6875,13781.6875
3771.4375,14728.6875,13781.1875
3771.4375,14728.6875,13781.1875
3771.375,14728.625,13781.25
3771.1875,14728.6875,13781.25
3771.9375,14728.6875,13780.5
3785.375,14728.6875,13767.0625
3785.375,14728.6875,13767.0625
3784.625,14728.75,13767.8125
3784.625,14728.75,13767.8125
3784.625,14728.75,13767.8125
3784.625,14728.75,13767.8125
3784.625,14728.75,13767.8125
3784.75,14728.8125,13767.625
3784.75,14728.8125,13767.625
3784.3125,14728.8125,13767.8125
3797.5,14728.75,13754.625
3797.5,14728.75,13754.625
3797.5,14728.75,13754.625
3797.5,14728.75,13754.625
