prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,2316.53,12.94,328.95,0.36,3.07,0.0,5886.44,100,0.0
short_02,short,False,3,1763.21,18.51,328.83,0.34,3.07,0.01,5901.56,100,0.0
short_03,short,False,3,3160.12,16.52,329.08,0.29,3.07,0.0,5913.94,100,0.0
short_04,short,False,3,4846.11,19.34,329.4,0.35,3.07,0.01,5927.96,100,0.0
short_05,short,False,3,2874.25,15.67,329.05,0.36,3.07,0.0,5944.37,100,0.0
short_06,short,False,3,3981.62,1.69,329.33,0.41,3.07,0.01,5957.85,100,0.0
short_07,short,False,3,2598.72,13.2,329.03,0.39,3.07,0.0,5971.58,100,0.0
short_08,short,False,3,2587.49,2.19,329.03,0.32,3.07,0.0,5985.33,100,0.0
short_09,short,False,3,2588.44,1.79,329.14,0.15,3.07,0.0,6000.44,100,0.0
short_10,short,False,3,3441.05,24.17,329.33,0.15,3.07,0.0,6014.19,100,0.0
medium_reasoning_01,medium,True,3,5673.09,0.79,329.75,0.13,3.06,0.0,6027.94,100,0.0
medium_02,medium,False,3,6801.71,21.99,329.94,0.14,3.06,0.0,6043.75,100,0.0
medium_03,medium,False,3,20457.59,24.47,332.13,0.14,3.04,0.0,6052.58,100,0.0
medium_04,medium,False,3,9050.48,17.13,330.39,0.17,3.06,0.0,6072.9,100,0.0
medium_05,medium,False,3,10225.36,98.73,330.68,0.2,3.06,0.01,6079.25,100,0.0
medium_06,medium,False,3,9327.49,5.58,330.37,0.1,3.06,0.0,6086.06,100,0.0
medium_07,medium,False,3,13257.56,15.31,331.03,0.06,3.05,0.0,6092.35,100,0.0
medium_08,medium,False,3,8769.49,19.01,330.26,0.09,3.06,0.0,6108.85,100,0.0
medium_09,medium,False,3,10453.95,22.77,330.52,0.12,3.06,0.0,6114.75,100,0.0
medium_10,medium,False,3,10452.57,20.17,330.48,0.11,3.06,0.0,6121.35,100,0.0
long_context_01,long,True,3,43582.22,15.89,336.14,0.16,3.0,0.01,6131.69,100,0.0
long_02,long,False,3,69599.73,36.44,347.09,0.22,2.91,0.0,6142.33,100,0.0
long_03,long,False,3,83474.26,42.29,351.02,0.87,2.88,0.01,6158.83,100,0.0
long_04,long,False,3,104617.54,29.46,350.92,0.35,2.88,0.0,6174.0,100,0.0
long_05,long,False,3,96321.98,29.87,351.07,0.44,2.88,0.01,6192.04,100,0.0
long_06,long,False,3,97154.81,24.32,350.89,0.05,2.88,0.0,6209.75,100,0.0
long_07,long,False,3,98854.61,15.4,351.3,0.26,2.87,0.01,6228.31,100,0.0
long_08,long,False,3,98126.89,209.83,354.47,4.53,2.85,0.03,6148.75,100,0.0
long_09,long,False,3,106297.27,14.77,351.8,0.07,2.87,0.0,6169.06,100,0.0
long_10,long,False,3,106310.27,48.46,351.18,0.45,2.88,0.01,6191.9,100,0.0
