used_mb,cached_mb,free_mb
2680.1875,624.4375,29050.625
2721.3125,4678.375,24955.8125
3235.375,5078.875,24041.9375
3235.1875,5078.875,24042.125
3235.375,5078.875,24041.875
3252.1875,5081.1875,24021.9375
3252.3125,5081.1875,24021.8125
3252.0625,5081.25,24022.0
3251.9375,5081.25,24022.125
3251.9375,5081.25,24022.125
3251.9375,5081.25,24022.125
3251.9375,5081.25,24022.125
3251.9375,5081.25,24022.125
3251.9375,5081.25,24022.125
3252.25,5081.25,24021.8125
3252.25,5081.25,24021.8125
3252.25,5081.25,24021.8125
3252.25,5081.25,24021.8125
3252.25,5081.25,24021.8125
3271.9375,5086.3125,23997.375
3286.375,5092.75,23976.625
3289.8125,5098.375,23967.3125
3298.5625,5106.5,23950.75
3302.625,5115.875,23937.4375
3312.75,5127.625,23916.25
3320.125,5135.5625,23900.75
3327.25,5143.5625,23885.6875
3332.1875,5149.25,23874.5
3344.625,5183.0625,23829.1875
3347.4375,5187.0,23822.8125
3354.1875,5256.1875,23747.25
3360.8125,5273.125,23723.4375
3373.625,5289.5,23694.75
3379.5625,5294.625,23683.6875
3394.5625,5293.0625,23669.8125
3414.875,5300.75,23642.5
3418.625,5307.5,23631.8125
3421.5625,5311.8125,23625.125
3423.0625,5315.8125,23620.0625
3426.5,5319.5625,23612.75
3430.8125,5324.0625,23604.0625
3439.8125,5327.75,23591.875
3439.375,5334.6875,23585.5
3440.9375,5338.3125,23579.6875
3445.0625,5344.0,23571.0625
3456.8125,5358.125,23545.0
3470.1875,5369.125,23520.6875
3478.625,5387.375,23493.5
3482.9375,5391.125,23485.4375
3488.75,5397.0625,23473.75
3495.375,5402.5625,23460.875
3501.1875,5408.6875,23447.75
3501.9375,5408.6875,23447.0
3501.4375,5408.6875,23447.5
3501.4375,5408.6875,23447.5
3501.0625,5408.6875,23447.875
3501.0625,5408.6875,23447.875
3501.0625,5408.6875,23447.875
3502.125,5408.4375,23447.0625
3509.8125,5398.125,23449.125
3509.625,5398.125,23449.3125
3507.8125,5398.125,23451.0
3507.4375,5398.125,23451.375
3507.375,5398.125,23451.4375
3508.625,5398.25,23450.0625
3509.875,5398.375,23448.6875
3510.0,5398.4375,23448.5625
3509.8125,5398.4375,23448.75
3509.5,5398.4375,23449.0625
3509.5,5398.4375,23449.0625
3509.5,5398.375,23449.0625
3509.3125,5398.4375,23449.25
3509.3125,5398.4375,23449.25
3508.9375,5398.4375,23449.625
3508.9375,5398.4375,23449.625
3508.9375,5398.4375,23449.625
3508.9375,5398.4375,23449.625
3508.75,5398.4375,23449.8125
3508.75,5398.4375,23449.8125
3510.8125,5398.4375,23447.75
3511.5,5398.4375,23446.875
3511.5,5398.4375,23446.875
3510.75,5398.4375,23447.625
3510.75,5398.4375,23447.625
3510.75,5398.4375,23447.625
3519.8125,5401.75,23435.875
3520.3125,5401.75,23435.3125
3516.6875,5403.5625,23436.8125
3516.6875,5403.5625,23436.8125
3516.6875,5403.5625,23436.8125
3516.6875,5403.5625,23436.8125
3516.625,5403.5625,23436.875
3516.1875,5403.5625,23437.3125
3516.1875,5403.5625,23437.3125
3517.4375,5403.625,23436.0625
3518.4375,5403.6875,23435.0
3518.4375,5403.6875,23435.0
3518.25,5403.6875,23435.1875
3518.125,5403.6875,23435.3125
3518.125,5403.6875,23435.3125
3518.125,5403.6875,23435.3125
3518.125,5403.6875,23435.3125
3517.5,5403.6875,23435.9375
3517.5,5403.6875,23435.9375
3517.125,5403.6875,23436.3125
3517.125,5403.6875,23436.3125
3517.125,5403.6875,23436.3125
3517.125,5403.6875,23436.3125
3517.125,5403.6875,23436.3125
3516.3125,5403.6875,23437.125
3517.4375,5403.4375,23435.9375
3514.625,5407.8125,23434.25
3513.5625,5407.8125,23435.3125
3513.75,5407.8125,23435.125
3513.6875,5407.625,23435.375
3513.625,5407.625,23435.4375
3513.625,5407.625,23435.4375
3513.8125,5407.625,23435.25
3513.75,5407.625,23435.3125
3513.75,5407.625,23435.3125
3528.0625,5407.875,23420.875
3527.875,5407.75,23421.0625
3527.6875,5407.875,23421.3125
3527.6875,5407.875,23421.3125
3527.5625,5407.9375,23421.25
3528.5625,5407.9375,23420.25
3528.375,5407.9375,23420.4375
3527.8125,5407.9375,23421.0
3527.8125,5407.9375,23421.0
