prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,4598.41,18.08,646.91,0.43,1.56,0.0,5788.39,100,0.0
short_02,short,False,3,3481.19,25.8,646.71,0.47,1.56,0.0,5803.52,100,0.0
short_03,short,False,3,6252.76,0.72,647.16,0.51,1.56,0.0,5818.65,100,0.0
short_04,short,False,3,9631.48,7.03,647.66,0.42,1.56,0.0,5834.48,100,0.0
short_05,short,False,3,5698.06,4.82,647.08,0.36,1.56,0.0,5849.59,100,0.0
short_06,short,False,3,7942.98,19.17,647.43,0.43,1.56,0.0,5864.71,100,0.0
short_07,short,False,3,5141.29,4.99,647.04,0.49,1.56,0.0,5879.83,100,0.0
short_08,short,False,3,5138.35,0.24,647.02,0.41,1.56,0.0,5892.21,100,0.0
short_09,short,False,3,5140.76,3.51,647.08,0.2,1.56,0.0,5908.71,100,0.0
short_10,short,False,3,6821.64,12.6,647.15,0.23,1.56,0.0,5923.83,100,0.0
medium_reasoning_01,medium,True,3,11313.32,20.67,647.96,0.07,1.56,0.0,5937.44,100,0.0
medium_02,medium,False,3,13541.77,3.74,648.35,0.15,1.56,0.0,5955.16,100,0.0
medium_03,medium,False,3,40824.07,7.26,652.39,0.25,1.55,0.0,5965.08,100,0.0
medium_04,medium,False,3,18029.34,22.07,649.07,0.3,1.56,0.0,5987.04,100.0,0.0
medium_05,medium,False,3,20278.19,2.65,649.62,0.24,1.56,0.01,5992.67,100,0.0
medium_06,medium,False,3,18598.27,1.59,649.19,0.29,1.56,0.0,5999.83,100,0.0
medium_07,medium,False,3,26441.99,3.45,650.47,0.2,1.55,0.0,6005.27,100,0.0
medium_08,medium,False,3,17480.46,12.65,649.02,0.21,1.56,0.0,6023.13,100,0.0
medium_09,medium,False,3,20839.08,2.62,649.5,0.5,1.56,0.01,6029.63,100,0.0
medium_10,medium,False,3,20838.95,0.89,649.69,0.39,1.56,0.01,6035.04,100,0.0
long_context_01,long,True,3,87076.67,6.99,659.83,0.11,1.53,0.0,6046.48,100,0.0
long_02,long,False,3,139084.28,19.03,680.69,0.48,1.48,0.0,6059.42,100,0.0
long_03,long,False,3,166764.73,28.87,688.26,0.37,1.47,0.0,6075.1,100,0.0
long_04,long,False,3,209034.02,29.73,688.7,0.3,1.47,0.0,6092.35,100,0.0
long_05,long,False,3,192459.22,28.4,689.31,0.24,1.47,0.01,6112.37,100,0.0
long_06,long,False,3,194153.48,40.49,688.73,0.75,1.47,0.0,6131.0,100,0.0
long_07,long,False,3,197492.57,24.02,688.45,0.33,1.47,0.0,6148.54,100,0.0
long_08,long,False,3,195875.01,26.53,690.64,2.09,1.46,0.01,6129.29,100,0.0
long_09,long,False,3,212559.21,101.63,691.59,2.03,1.46,0.0,6055.65,100,0.0
long_10,long,False,3,212455.24,69.91,690.5,2.49,1.47,0.01,6077.04,100,0.0
