prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,401.44,4.35,88.34,0.24,11.43,0.03,18.06,100,100.0
short_02,short,False,3,299.41,6.04,88.29,0.14,11.44,0.02,18.06,100,100.0
short_03,short,False,3,591.33,0.13,88.46,0.14,11.42,0.02,18.06,100,100.0
short_04,short,False,3,901.73,0.6,88.63,0.12,11.4,0.02,18.06,100,100.0
short_05,short,False,3,542.65,0.34,88.48,0.08,11.41,0.01,18.06,100,100.0
short_06,short,False,3,739.55,0.5,88.59,0.12,11.4,0.02,18.06,100,100.0
short_07,short,False,3,444.23,0.87,88.47,0.13,11.42,0.02,18.06,100,100.0
short_08,short,False,3,443.97,1.01,88.47,0.1,11.42,0.02,18.06,100,100.0
short_09,short,False,3,446.77,4.57,88.41,0.07,11.42,0.01,18.06,100,100.0
short_10,short,False,3,640.5,0.27,88.51,0.06,11.41,0.01,18.06,100,100.0
medium_reasoning_01,medium,True,3,1058.81,14.44,88.73,0.07,11.38,0.01,18.06,100,100.0
medium_02,medium,False,3,1246.88,0.58,88.85,0.09,11.37,0.01,18.06,100,100.0
medium_03,medium,False,3,1564.17,2508.41,91.62,3.02,11.03,0.36,18.06,100,66.67
medium_04,medium,False,3,1645.4,1.88,89.04,0.07,11.35,0.01,18.06,100,100.0
medium_05,medium,False,3,695.94,1006.62,91.38,4.01,11.07,0.47,18.06,100,100.0
medium_06,medium,False,3,645.81,920.92,91.09,3.61,11.1,0.43,18.06,100,100.0
medium_07,medium,False,3,879.39,1323.51,91.55,3.77,11.05,0.45,18.06,100,66.67
medium_08,medium,False,3,1595.55,1.45,89.0,0.03,11.35,0.0,18.06,100,100.0
medium_09,medium,False,3,713.19,1035.47,91.52,4.18,11.05,0.49,18.06,100,100.0
medium_10,medium,False,3,712.46,1035.78,91.26,3.69,11.08,0.43,18.06,100,100.0
long_context_01,long,True,3,3573.08,5970.48,95.72,3.85,10.56,0.43,18.06,100,66.67
long_02,long,False,3,5128.6,8642.49,98.01,1.07,10.31,0.11,18.06,100,66.67
long_03,long,False,3,7040.78,11945.66,98.9,0.46,10.21,0.05,18.06,100,66.67
long_04,long,False,3,8230.33,13999.04,101.06,2.13,10.0,0.21,18.06,100,33.33
long_05,long,False,3,7815.0,13281.54,100.5,2.26,10.05,0.23,18.06,100,33.33
long_06,long,False,3,7854.37,13350.01,100.74,2.46,10.03,0.24,18.06,100,33.33
long_07,long,False,3,8220.25,13984.2,100.53,2.51,10.05,0.25,18.06,100,33.33
long_08,long,False,3,7904.72,13435.48,100.9,2.4,10.01,0.24,18.06,100,33.33
long_09,long,False,3,8337.55,14184.38,100.4,2.63,10.07,0.26,18.06,100,33.33
long_10,long,False,3,8331.19,14171.96,100.63,2.52,10.04,0.25,18.06,100,33.33
