user,system,iowait
2.0,0.1,0.0
2.0,0.1,0.0
21.8,0.7,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.5,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,0.3,0.0
1.4,1.2,0.0
1.0,1.3,0.0
9.5,1.4,0.0
1.1,1.1,0.0
0.9,1.0,0.0
1.1,1.2,0.0
1.3,0.8,0.0
1.4,0.7,0.0
1.6,0.7,0.0
1.2,1.0,0.0
34.3,0.6,0.0
64.8,0.2,0.0
65.0,0.0,0.0
66.3,0.0,0.0
66.3,0.1,0.0
66.6,0.2,0.0
66.3,0.0,0.0
65.5,0.5,0.0
66.0,0.1,0.0
62.7,0.1,0.0
26.0,0.3,0.0
66.2,0.1,0.0
66.2,0.0,0.0
66.5,0.0,0.0
66.4,0.0,0.0
66.3,0.0,0.0
66.0,0.1,0.0
66.0,0.1,0.0
66.3,0.1,0.0
65.9,0.2,0.0
28.1,0.4,0.0
65.7,0.3,0.0
66.2,0.1,0.0
66.3,0.0,0.0
66.3,0.0,0.0
65.6,0.0,0.0
66.3,0.1,0.0
65.9,0.2,0.0
66.0,0.1,0.0
66.5,0.1,0.0
11.5,0.4,0.0
64.9,0.0,0.0
66.2,0.1,0.0
66.3,0.1,0.0
66.3,0.0,0.0
66.6,0.1,0.0
65.6,0.1,0.0
66.2,0.1,0.0
65.9,0.1,0.0
66.0,0.1,0.0
35.3,0.3,0.0
56.5,0.0,0.0
66.3,0.0,0.0
66.3,0.0,0.0
66.3,0.0,0.0
66.4,0.1,0.0
66.2,0.1,0.0
66.0,0.1,0.0
66.1,0.0,0.0
66.1,0.0,0.0
35.3,0.4,0.0
56.5,0.0,0.0
66.2,0.1,0.0
63.5,0.4,0.0
64.9,0.1,0.0
66.3,0.1,0.0
66.2,0.1,0.0
65.8,0.1,0.0
65.7,0.2,0.0
66.1,0.2,0.0
58.9,0.3,0.0
35.6,0.2,0.0
66.4,0.0,0.0
66.2,0.1,0.0
66.3,0.1,0.0
65.8,0.5,0.0
66.2,0.1,0.0
65.6,0.5,0.0
66.2,0.1,0.0
66.0,0.1,0.0
65.9,0.1,0.0
42.4,0.3,0.0
51.5,0.0,0.0
65.3,0.2,0.0
66.3,0.0,0.0
66.3,0.1,0.0
65.8,0.1,0.0
65.7,0.3,0.0
66.3,0.0,0.0
65.8,0.0,0.0
66.5,0.2,0.0
58.4,0.1,0.0
35.5,0.1,0.0
66.1,0.1,0.0
64.4,0.1,0.0
63.4,0.1,0.0
65.8,0.1,0.0
66.2,0.1,0.0
65.7,0.4,0.0
66.2,0.1,0.0
65.9,0.3,0.0
65.8,0.1,0.0
28.1,0.3,0.0
66.1,0.0,0.0
66.3,0.1,0.0
66.6,0.1,0.0
66.3,0.0,0.0
66.3,0.0,0.0
66.2,0.1,0.0
65.8,0.1,0.0
66.2,0.1,0.0
66.1,0.2,0.0
39.2,0.3,0.0
54.6,0.1,0.0
66.2,0.1,0.0
66.3,0.1,0.0
66.3,0.1,0.0
66.3,0.0,0.0
66.2,0.1,0.0
65.8,0.1,0.0
66.2,0.3,0.0
66.0,0.3,0.0
51.3,0.2,0.0
42.8,0.1,0.0
66.2,0.1,0.0
66.3,0.0,0.0
66.3,0.1,0.0
66.3,0.1,0.0
66.3,0.1,0.0
66.0,0.1,0.0
65.8,0.1,0.0
66.1,0.1,0.0
62.6,0.1,0.0
31.1,0.2,0.0
66.4,0.0,0.0
66.8,0.2,0.0
66.3,0.1,0.0
66.3,0.1,0.0
65.8,0.1,0.0
65.8,0.1,0.0
66.2,0.1,0.0
66.1,0.2,0.0
66.0,0.1,0.0
27.6,0.2,0.0
66.7,0.0,0.0
66.3,0.0,0.0
66.3,0.0,0.0
65.8,0.1,0.0
66.3,0.0,0.0
65.8,0.1,0.0
66.6,0.2,0.0
66.1,0.2,0.0
65.9,0.0,0.0
66.0,0.1,0.0
27.5,0.5,0.0
66.7,0.0,0.0
67.5,0.5,0.0
68.2,0.2,0.0
66.9,0.1,0.0
65.4,0.5,0.0
66.3,0.0,0.0
66.1,0.2,0.0
66.1,0.0,0.0
66.1,0.0,0.0
66.0,0.1,0.0
38.7,0.3,0.0
51.5,0.9,0.0
63.5,0.0,0.0
63.5,0.0,0.0
63.3,0.0,0.0
62.3,0.0,0.0
63.2,0.2,0.0
65.2,0.1,0.0
66.3,0.1,0.0
66.1,0.0,0.0
66.0,0.1,0.0
66.3,0.1,0.0
66.1,0.0,0.0
65.9,0.0,0.0
66.1,0.1,0.0
66.3,0.4,0.0
27.4,0.3,0.0
66.7,0.0,0.0
66.6,0.0,0.0
66.5,0.0,0.0
66.3,0.1,0.0
65.8,0.1,0.0
66.2,0.1,0.0
65.7,0.2,0.0
66.0,0.1,0.0
66.1,0.0,0.0
66.1,0.1,0.0
63.0,0.1,0.0
31.5,0.2,0.0
66.7,0.0,0.0
67.0,0.1,0.0
65.6,0.6,0.0
66.3,0.0,0.0
66.1,0.0,0.0
66.2,0.1,0.0
65.8,0.2,0.0
66.4,0.1,0.0
66.0,0.1,0.0
66.1,0.1,0.0
65.8,0.1,0.0
27.8,0.2,0.0
66.7,0.0,0.0
66.7,0.0,0.0
66.2,0.0,0.0
66.1,0.0,0.0
66.1,0.1,0.0
66.1,0.2,0.0
66.2,0.1,0.0
66.0,0.1,0.0
66.1,0.0,0.0
66.0,0.1,0.0
64.9,0.0,0.0
29.7,0.1,0.0
66.7,0.0,0.0
66.7,0.0,0.0
66.5,0.0,0.0
66.3,0.1,0.0
65.8,0.1,0.0
66.1,0.0,0.0
66.3,0.0,0.0
66.4,0.2,0.0
65.9,0.0,0.0
66.0,0.1,0.0
65.7,0.7,0.0
58.7,0.5,0.0
34.4,0.1,0.0
66.8,0.0,0.0
66.4,0.1,0.0
66.5,0.0,0.0
66.3,0.0,0.0
65.5,0.3,0.0
66.1,0.0,0.0
66.3,0.0,0.0
66.1,0.1,0.0
65.8,0.1,0.0
66.5,0.2,0.0
44.1,0.2,0.0
48.4,0.0,0.0
66.7,0.0,0.0
66.5,0.0,0.0
66.2,0.1,0.0
66.2,0.1,0.0
65.8,0.0,0.0
66.3,0.0,0.0
66.3,0.1,0.0
65.7,0.6,0.0
66.2,0.1,0.0
66.0,0.1,0.0
58.4,0.2,0.0
35.8,0.2,0.0
66.9,0.2,0.0
66.7,0.0,0.0
65.9,0.1,0.0
66.3,0.0,0.0
66.3,0.0,0.0
65.8,0.0,0.0
65.9,0.3,0.0
66.0,0.0,0.0
66.0,0.1,0.0
65.8,0.1,0.0
65.6,0.7,0.0
27.3,0.3,0.0
64.9,0.0,0.0
65.2,0.0,0.0
65.6,0.0,0.0
65.2,0.2,0.0
65.2,0.1,0.0
65.0,0.0,0.0
64.8,0.0,0.0
65.3,0.0,0.0
