prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,543.76,11.98,90.39,0.16,11.17,0.02,18.06,100,100.0
short_02,short,False,3,392.25,0.28,90.36,0.13,11.18,0.02,18.06,100,100.0
short_03,short,False,3,812.73,0.85,90.35,0.04,11.18,0.01,18.06,100,100.0
short_04,short,False,3,1238.06,1.08,90.43,0.06,11.17,0.01,18.06,100,100.0
short_05,short,False,3,745.03,4.26,90.33,0.05,11.18,0.01,18.06,100,100.0
short_06,short,False,3,1023.11,0.98,90.39,0.05,11.17,0.01,18.06,100,100.0
short_07,short,False,3,613.6,20.52,90.34,0.07,11.18,0.01,18.06,100,100.0
short_08,short,False,3,603.26,2.49,90.72,0.39,11.13,0.05,18.06,100,100.0
short_09,short,False,3,604.16,2.01,90.8,0.43,11.13,0.06,18.06,100,100.0
short_10,short,False,3,885.66,3.25,90.69,0.43,11.14,0.05,18.06,100,100.0
medium_reasoning_01,medium,True,3,1451.43,4.48,90.82,0.4,11.12,0.05,18.06,100,100.0
medium_02,medium,False,3,1734.38,5.02,90.87,0.41,11.12,0.05,18.06,100,100.0
medium_03,medium,False,3,2072.04,3386.67,92.5,1.59,10.92,0.19,18.06,100,66.67
medium_04,medium,False,3,2297.85,4.46,90.96,0.38,11.1,0.04,18.06,100,0.0
medium_05,medium,False,3,938.49,1424.74,92.22,1.76,10.96,0.21,18.06,100,66.67
medium_06,medium,False,3,870.37,1308.67,91.91,2.02,10.99,0.24,18.06,100,66.67
medium_07,medium,False,3,1196.58,1872.45,92.13,1.88,10.97,0.22,18.06,100,66.67
medium_08,medium,False,3,2226.17,5.58,90.97,0.31,11.1,0.04,18.06,100,0.0
medium_09,medium,False,3,961.48,1466.0,91.92,2.08,10.99,0.25,18.06,100,66.67
medium_10,medium,False,3,961.07,1465.61,91.9,2.06,11.0,0.25,18.06,100,66.67
long_context_01,long,True,3,4011.66,6737.38,93.98,1.57,10.75,0.18,18.06,100,66.67
long_02,long,False,3,6244.54,10586.56,95.43,0.86,10.58,0.09,18.06,100,66.67
long_03,long,False,3,8050.38,13704.53,96.19,0.11,10.5,0.01,18.06,100,66.67
long_04,long,False,3,9562.47,16309.8,97.61,1.58,10.35,0.17,18.06,100,66.67
long_05,long,False,3,9143.99,15573.98,97.79,2.15,10.33,0.22,18.06,100,33.33
long_06,long,False,3,9266.59,15765.79,97.85,1.51,10.32,0.16,18.06,100,66.67
long_07,long,False,3,9305.68,15833.0,97.81,2.18,10.33,0.23,18.06,100,33.33
long_08,long,False,3,9286.87,15808.58,98.08,1.58,10.3,0.17,18.06,100,66.67
long_09,long,False,3,9760.95,16636.22,97.73,2.22,10.34,0.23,18.06,100,33.33
long_10,long,False,3,9769.09,16650.83,98.06,1.48,10.31,0.16,18.06,100,66.67
