used_mb,cached_mb,free_mb
2524.0,2274.4375,27540.6875
3079.3125,5049.875,24210.75
3079.0,5049.875,24211.0625
3079.25,5049.875,24210.8125
3080.1875,5049.9375,24209.875
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3079.875,5050.0,24210.125
3079.875,5050.0,24210.125
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3080.0625,5050.0,24209.9375
3082.0,5050.0625,24207.75
3085.4375,5050.25,24204.0
3098.375,5051.375,24189.6875
3108.1875,5056.1875,24176.0625
3115.3125,5059.3125,24165.5625
3111.5625,5067.0,24161.75
3113.3125,5070.6875,24156.4375
3118.75,5077.375,24144.1875
3129.875,5086.5,24124.125
3131.125,5095.125,24114.5625
3137.875,5099.8125,24103.0625
3142.375,5106.4375,24091.9375
3151.6875,5114.75,24075.1875
3155.75,5118.9375,24067.125
3157.0625,5119.75,24064.9375
3171.5,5150.25,24019.5
3182.9375,5159.25,24000.125
3184.0,5162.3125,23996.0
3190.75,5216.3125,23936.5
3193.0625,5236.0,23914.0
3204.0625,5249.8125,23888.5625
3208.9375,5265.25,23868.25
3210.9375,5268.375,23863.5
3219.9375,5279.0,23843.625
3224.125,5283.5,23834.9375
3232.0,5286.4375,23824.5
3234.4375,5292.6875,23816.8125
3234.625,5294.4375,23814.5625
3237.125,5298.375,23808.4375
3240.3125,5303.125,23800.75
3248.25,5305.5625,23789.8125
3260.1875,5310.9375,23772.4375
3262.125,5314.125,23767.125
3261.6875,5321.0625,23760.625
3263.625,5328.5,23751.375
3267.5625,5331.25,23744.6875
3293.875,5350.0,23705.125
3298.6875,5354.1875,23690.8125
3306.0,5375.125,23662.75
3311.0625,5378.3125,23655.0625
3313.3125,5379.6875,23650.9375
3314.75,5383.0625,23645.5
3314.9375,5384.875,23643.6875
3316.25,5385.1875,23641.0625
3316.375,5385.1875,23640.5
