user,system,iowait
2.1,0.0,0.0
3.1,0.5,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6,0.1,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.7,0.6,0.0
0.7,0.6,0.0
0.6,0.9,0.0
0.5,0.4,0.0
0.3,0.8,0.0
9.0,0.5,0.0
0.5,0.5,0.0
0.7,0.6,0.0
0.7,0.6,0.0
0.4,0.9,0.0
0.7,1.0,0.0
0.6,0.7,0.0
2.7,0.9,0.0
3.3,0.9,0.0
1.5,1.1,0.0
1.2,0.8,0.0
0.1,0.5,0.0
15.5,0.3,0.0
32.5,0.1,0.0
32.0,0.0,0.0
11.6,0.2,0.0
32.1,0.1,0.0
32.9,0.2,0.0
17.4,0.5,0.0
28.3,0.1,0.0
32.6,0.1,0.0
25.9,0.2,0.0
12.4,0.3,0.0
32.4,0.1,0.0
32.2,0.4,0.0
13.4,0.6,0.0
32.0,0.4,0.0
32.5,0.1,0.0
17.7,0.3,0.0
27.9,0.1,0.0
32.4,0.1,0.0
28.1,0.2,0.0
18.8,0.2,0.0
32.0,0.4,0.0
32.2,0.4,0.0
14.2,0.1,0.0
32.1,0.2,0.0
32.7,0.1,0.0
20.4,0.4,0.0
25.9,0.4,0.0
32.3,0.1,0.0
32.2,0.1,0.0
14.4,0.2,0.0
32.5,0.1,0.0
33.0,0.1,0.0
14.4,0.2,0.0
32.7,0.1,0.0
32.9,0.1,0.0
18.5,0.2,0.0
28.1,0.2,0.0
32.5,0.1,0.0
28.1,0.4,0.0
18.9,0.1,0.0
14.3,0.2,0.0
32.7,0.1,0.0
32.8,0.0,0.0
16.3,0.2,0.0
30.2,0.1,0.0
32.4,0.1,0.0
32.7,0.1,0.0
13.2,0.1,0.0
30.9,0.0,0.0
32.9,0.1,0.0
32.4,0.0,0.0
23.1,0.3,0.0
23.2,0.0,0.0
32.2,0.0,0.0
32.3,0.1,0.0
14.1,0.2,0.0
32.9,0.0,0.0
32.6,0.0,0.0
32.8,0.1,0.0
14.3,0.3,0.0
32.7,0.2,0.0
32.0,0.0,0.0
26.7,0.6,0.0
20.1,0.1,0.0
32.5,0.3,0.0
31.6,0.3,0.0
24.8,0.3,0.0
22.1,0.1,0.0
32.2,0.2,0.0
31.7,0.1,0.0
13.9,0.4,0.0
32.9,0.1,0.0
32.7,0.2,0.0
32.4,0.1,0.0
14.1,0.2,0.0
32.8,0.0,0.0
32.1,0.3,0.0
30.8,0.2,0.0
14.9,0.3,0.0
32.8,0.2,0.0
32.0,0.0,0.0
32.0,0.1,0.0
32.6,0.1,0.0
32.5,0.2,0.0
13.6,0.4,0.0
32.6,0.0,0.0
32.4,0.0,0.0
32.2,0.0,0.0
32.3,0.0,0.0
32.1,0.1,0.0
32.2,0.0,0.0
32.6,0.0,0.0
13.9,0.2,0.0
32.4,0.0,0.0
32.8,0.1,0.0
32.5,0.0,0.0
32.3,0.0,0.0
32.5,0.1,0.0
32.2,0.1,0.0
32.5,0.1,0.0
29.4,0.4,0.0
15.8,0.1,0.0
32.0,0.1,0.0
32.1,0.0,0.0
31.9,0.1,0.0
31.9,0.0,0.0
32.0,0.0,0.0
31.9,0.0,0.0
31.4,0.0,0.0
32.7,0.3,0.0
32.3,0.1,0.0
