used_mb,cached_mb,free_mb
2834.25,5636.625,23813.4375
2889.5,5865.4375,23529.5625
2888.9375,5865.5,23530.125
2888.375,5865.5,23530.6875
2888.375,5865.5,23530.6875
2888.25,5865.5,23530.8125
2887.9375,5865.5,23531.125
2887.5625,5865.5,23531.5
2887.4375,5865.5,23531.625
2887.4375,5865.5,23531.625
2887.4375,5865.5,23531.625
2886.6875,5865.4375,23532.375
2886.4375,5865.5,23532.5
2885.8125,5865.5,23533.125
2884.75,5865.5,23533.3125
2885.375,5865.5,23532.625
2885.0,5865.5,23533.0
2885.0,5865.4375,23533.0
2884.875,5865.4375,23533.125
2905.8125,5865.375,23512.1875
2916.9375,5871.5,23494.9375
2925.5625,5878.1875,23480.0
2926.5,5884.75,23472.8125
2932.4375,5890.875,23461.0
2943.875,5894.875,23445.9375
2964.8125,5861.9375,23452.625
2975.25,5903.6875,23405.5625
2989.125,5910.5,23384.625
2990.6875,5911.0,23382.5
3005.75,5911.4375,23367.1875
3005.6875,5914.625,23364.1875
3016.9375,5917.875,23349.9375
3036.3125,5921.4375,23326.375
3044.4375,5936.375,23302.875
3048.125,5936.625,23298.9375
3052.6875,5938.0625,23293.25
3055.6875,5938.1875,23289.875
3055.8125,5938.1875,23289.6875
3055.625,5938.25,23289.875
3055.4375,5938.25,23290.0625
3058.8125,5938.25,23286.6875
3058.5625,5938.25,23286.9375
3059.375,5938.25,23286.0
3059.0,5938.25,23286.375
3061.8125,5938.25,23283.5625
3061.8125,5938.25,23283.5625
3061.625,5938.25,23283.75
3064.4375,5938.25,23280.9375
3064.4375,5938.25,23280.9375
3064.4375,5938.25,23280.9375
3066.3125,5938.25,23279.0625
3066.3125,5938.25,23279.0625
3066.3125,5938.25,23279.0625
3066.625,5938.25,23278.75
3068.0,5938.25,23277.375
3068.0,5938.25,23277.375
3068.875,5938.25,23276.4375
3070.5,5938.25,23274.4375
3070.0,5938.1875,23274.9375
3070.0,5938.1875,23274.9375
3070.0625,5938.25,23274.9375
3071.875,5938.25,23273.0625
3071.875,5938.25,23273.0625
3072.0,5938.25,23272.9375
3073.6875,5938.25,23271.25
3073.6875,5938.25,23271.25
3073.6875,5938.25,23271.25
3075.375,5938.25,23269.5625
3075.375,5938.1875,23269.5625
3075.375,5938.1875,23269.5625
3075.375,5938.25,23269.5625
3075.625,5938.25,23269.3125
3076.25,5938.25,23268.6875
3076.25,5938.25,23268.6875
3077.8125,5938.25,23267.0625
3077.1875,5938.25,23267.6875
3077.1875,5938.25,23267.6875
3078.75,5938.1875,23266.125
3078.75,5938.25,23266.125
3078.6875,5938.25,23266.1875
3078.875,5938.25,23266.0
3078.875,5938.25,23266.0
3079.9375,5938.25,23264.9375
3079.875,5938.25,23265.0
3080.3125,5938.25,23264.4375
3081.4375,5938.25,23263.3125
3082.9375,5938.25,23261.8125
3083.5625,5938.25,23261.1875
3083.5625,5938.25,23261.1875
3083.5625,5938.25,23261.1875
3085.25,5938.25,23259.5
3085.8125,5938.25,23258.9375
3085.8125,5938.25,23258.9375
3085.8125,5938.3125,23258.9375
3087.5,5938.3125,23257.25
3087.25,5938.3125,23257.5
3087.25,5938.3125,23257.5
3088.9375,5938.3125,23255.8125
3088.6875,5938.3125,23256.0625
3088.6875,5938.3125,23256.0625
3088.6875,5938.3125,23256.0625
3092.25,5938.3125,23252.5
3092.25,5938.3125,23252.5
3092.25,5938.3125,23252.5
3092.0625,5938.3125,23252.6875
3093.6875,5938.3125,23251.0625
3093.6875,5938.3125,23251.0625
3093.875,5938.3125,23250.875
3093.875,5938.3125,23250.875
3095.4375,5938.3125,23249.1875
3095.4375,5938.3125,23249.1875
3095.625,5938.3125,23249.0
3095.625,5938.3125,23249.0
3095.4375,5938.3125,23249.1875
3095.4375,5938.3125,23249.1875
3099.9375,5938.3125,23244.6875
3099.9375,5938.3125,23244.6875
3099.375,5938.3125,23245.1875
3099.1875,5938.3125,23245.375
3100.6875,5938.3125,23243.875
3100.6875,5938.3125,23243.875
3105.0625,5938.3125,23239.375
3108.0625,5938.3125,23236.375
3107.9375,5938.3125,23236.5
3107.9375,5938.3125,23236.5
3107.9375,5938.3125,23236.5
3108.125,5938.3125,23236.3125
3108.125,5938.3125,23236.3125
3108.125,5938.3125,23236.3125
3114.875,5938.3125,23229.5625
3114.875,5938.3125,23229.5625
3114.5625,5938.3125,23229.75
3116.625,5938.3125,23227.6875
3116.375,5938.3125,23227.9375
3116.0,5938.3125,23228.3125
3115.75,5938.3125,23228.5625
3115.5625,5938.3125,23228.75
3115.4375,5938.3125,23228.875
3123.5,5938.3125,23220.8125
3123.1875,5938.3125,23221.125
3123.1875,5938.3125,23221.125
3123.125,5938.3125,23221.1875
3123.125,5938.3125,23221.1875
3122.9375,5938.3125,23221.375
