prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,143.44,0.47,25.89,0.02,39.02,0.04,658.42,100,100.0
short_02,short,False,3,109.57,0.29,25.88,0.03,39.03,0.04,658.42,100,100.0
short_03,short,False,3,192.39,0.53,25.89,0.03,39.02,0.04,659.79,100,100.0
short_04,short,False,3,291.69,0.41,25.93,0.03,38.95,0.05,662.54,100,100.0
short_05,short,False,3,208.92,0.31,25.89,0.03,39.01,0.05,663.92,100,100.0
short_06,short,False,3,241.65,0.18,25.91,0.03,38.99,0.04,666.62,100,100.0
short_07,short,False,3,159.35,0.11,25.88,0.02,39.02,0.04,666.62,100,100.0
short_08,short,False,3,158.93,0.15,25.88,0.01,39.02,0.01,668.0,100,100.0
short_09,short,False,3,159.06,0.42,25.88,0.01,39.04,0.02,670.75,100,100.0
short_10,short,False,3,97.23,96.33,25.73,0.11,40.35,1.17,670.75,47.0,100.0
medium_reasoning_01,medium,True,3,343.98,0.38,25.92,0.05,38.96,0.07,672.13,100,100.0
medium_02,medium,False,3,410.46,0.17,25.95,0.07,38.92,0.09,673.44,100,100.0
medium_03,medium,False,3,543.76,865.03,26.55,0.7,38.06,0.99,673.44,100,100.0
medium_04,medium,False,3,543.82,0.26,25.98,0.04,38.88,0.06,677.31,100,100.0
medium_05,medium,False,3,235.1,331.68,26.44,0.79,38.24,1.12,677.31,100,100.0
medium_06,medium,False,3,559.74,0.17,25.99,0.04,38.86,0.06,677.31,100,100.0
medium_07,medium,False,3,297.3,438.79,26.46,0.75,38.2,1.06,678.69,100,100.0
medium_08,medium,False,3,526.6,0.12,25.98,0.05,38.88,0.07,680.06,100,100.0
medium_09,medium,False,3,240.84,341.79,26.46,0.8,38.2,1.14,681.44,100,100.0
medium_10,medium,False,3,240.39,341.94,26.44,0.77,38.22,1.09,681.44,100,100.0
long_context_01,long,True,3,1062.33,1759.08,27.36,0.62,36.93,0.85,684.42,100,66.67
long_02,long,False,3,1576.15,2644.36,27.82,0.36,36.31,0.46,686.21,100,66.67
long_03,long,False,3,1845.29,3108.91,28.09,0.23,35.96,0.29,688.75,100,66.67
long_04,long,False,3,2553.29,4332.1,28.39,0.6,35.6,0.75,690.52,100,66.67
long_05,long,False,3,2403.42,4073.92,28.33,0.55,35.66,0.69,691.79,100,66.67
long_06,long,False,3,2461.16,4174.18,28.38,0.58,35.61,0.72,693.17,100,66.67
long_07,long,False,3,2454.7,4162.07,28.35,0.55,35.64,0.69,695.92,100,66.67
long_08,long,False,3,2488.96,4220.85,28.4,0.56,35.58,0.7,697.29,100,66.67
long_09,long,False,3,2589.32,4394.57,28.36,0.55,35.62,0.68,699.25,100,66.67
long_10,long,False,3,2589.63,4395.22,28.41,0.57,35.56,0.7,702.0,100,66.67
