user,system,iowait
3.6,0.4,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,0.3,0.0
1.3,1.1,0.0
1.0,1.2,0.0
8.9,1.4,0.0
2.1,1.0,0.0
1.0,1.1,0.0
1.0,0.9,0.0
1.5,0.7,0.0
1.5,0.6,0.0
1.1,1.0,0.0
1.6,0.6,0.0
8.7,1.0,0.0
32.5,0.2,0.0
32.7,0.2,0.0
22.5,0.5,0.0
5.0,0.3,0.0
31.2,0.1,0.0
32.8,0.2,0.0
32.7,0.2,0.0
6.6,0.4,0.0
5.7,0.5,0.0
23.3,0.1,0.0
14.6,0.3,0.0
14.4,0.2,0.0
14.3,0.3,0.0
18.6,0.3,0.0
10.4,0.2,0.0
13.7,0.2,0.0
30.1,0.1,0.0
10.3,0.2,0.0
20.8,0.1,0.0
32.5,0.1,0.0
32.8,0.1,0.0
19.9,0.4,0.0
19.8,0.2,0.0
21.7,0.0,0.0
32.3,0.0,0.0
32.8,0.1,0.0
33.2,0.0,0.0
14.4,0.2,0.0
32.8,0.0,0.0
13.9,0.1,0.0
18.3,0.2,0.0
29.0,0.0,0.0
18.1,0.2,0.0
28.7,0.0,0.0
14.0,0.2,0.0
33.5,0.0,0.0
27.8,0.2,0.0
19.8,0.4,0.0
23.6,0.4,0.0
23.7,0.0,0.0
13.7,0.2,0.0
32.1,0.0,0.0
32.3,0.0,0.0
32.3,0.0,0.0
32.3,0.0,0.0
13.5,0.2,0.0
32.1,0.0,0.0
32.6,0.0,0.0
32.5,0.0,0.0
32.1,0.0,0.0
32.5,0.0,0.0
32.4,0.0,0.0
18.3,0.5,0.0
27.7,0.0,0.0
32.0,0.0,0.0
31.5,0.0,0.0
32.0,0.0,0.0
31.5,0.0,0.0
31.7,0.0,0.0
31.9,0.0,0.0
31.8,0.0,0.0
31.6,0.0,0.0
13.2,0.2,0.0
31.7,0.1,0.0
31.7,0.0,0.0
31.7,0.0,0.0
31.8,0.0,0.0
32.4,0.0,0.0
31.8,0.0,0.0
31.9,0.0,0.0
31.6,0.0,0.0
31.8,0.0,0.0
31.8,0.0,0.0
24.9,0.1,0.0
19.7,0.1,0.0
31.2,0.0,0.0
31.9,0.0,0.0
31.7,0.0,0.0
32.0,0.0,0.0
31.7,0.0,0.0
32.0,0.0,0.0
31.6,0.0,0.0
32.6,0.1,0.0
31.7,0.0,0.0
18.1,0.2,0.0
26.2,0.0,0.0
31.9,0.0,0.0
31.8,0.0,0.0
31.9,0.0,0.0
31.7,0.0,0.0
31.9,0.0,0.0
31.8,0.0,0.0
31.8,0.0,0.0
31.5,0.0,0.0
31.9,0.0,0.0
31.3,0.0,0.0
16.6,0.3,0.0
29.8,0.3,0.0
31.7,0.0,0.0
31.5,0.0,0.0
31.8,0.0,0.0
32.0,0.1,0.0
31.7,0.0,0.0
31.8,0.0,0.0
31.5,0.0,0.0
31.7,0.0,0.0
