used_mb,cached_mb,free_mb
3041.875,6580.1875,22643.25
3041.8125,6580.3125,22643.3125
3040.0,6580.3125,22645.0625
3040.3125,6580.3125,22644.75
3040.3125,6580.3125,22644.75
3039.875,6580.3125,22645.1875
3039.75,6580.3125,22645.3125
3039.5625,6580.3125,22645.5
3039.375,6580.3125,22645.6875
3039.75,6580.3125,22645.3125
3039.5625,6580.3125,22645.5
3039.1875,6580.3125,22645.875
3039.1875,6580.3125,22645.875
3039.125,6580.3125,22645.9375
3038.75,6580.3125,22646.3125
3038.6875,6580.3125,22646.3125
3038.6875,6580.3125,22646.3125
3037.875,6580.3125,22647.125
3038.25,6580.3125,22646.75
3046.6875,6580.3125,22638.1875
3068.625,6580.3125,22616.25
3082.5,6580.3125,22602.375
3100.5625,6580.3125,22584.3125
3127.5625,6580.3125,22557.3125
3140.3125,6580.3125,22544.5625
3154.125,6580.3125,22530.75
3161.25,6580.3125,22523.625
3177.9375,6580.3125,22506.9375
3191.375,6580.3125,22493.5
3199.8125,6580.3125,22485.0625
3205.1875,6580.375,22479.625
3207.0625,6580.375,22477.75
3207.0625,6580.375,22477.75
3206.3125,6580.25,22478.5
3206.8125,6580.3125,22477.9375
3207.125,6580.3125,22477.625
3206.4375,6580.3125,22478.3125
3209.25,6580.3125,22475.5
3208.6875,6580.3125,22476.0625
3208.25,6580.3125,22476.5
3210.75,6580.3125,22474.0
3210.75,6580.3125,22474.0
3210.75,6580.3125,22474.0
3210.625,6580.3125,22474.125
3213.0625,6580.3125,22471.6875
3213.1875,6580.3125,22471.5625
3213.5625,6580.3125,22471.1875
3214.875,6580.3125,22469.875
3217.1875,6580.3125,22467.5625
3217.75,6580.3125,22467.0
3217.875,6580.3125,22466.875
3225.25,6580.3125,22459.4375
3225.125,6580.3125,22459.5625
3225.0625,6580.3125,22459.625
3227.125,6580.3125,22457.5625
3227.3125,6580.3125,22457.375
3230.125,6580.3125,22454.5625
3231.0625,6580.3125,22453.625
3231.625,6580.375,22453.0625
3231.8125,6580.375,22452.875
3233.875,6580.375,22450.8125
3233.8125,6580.375,22450.8125
3234.875,6580.375,22449.6875
3235.625,6580.375,22448.9375
3246.25,6580.375,22438.3125
3252.25,6580.375,22432.3125
3252.25,6580.375,22432.3125
3254.5,6580.375,22430.0625
3263.3125,6580.375,22421.25
3263.0625,6580.375,22421.5
3262.75,6580.375,22421.8125
3268.0,6580.375,22416.5625
3273.25,6580.375,22411.25
3273.25,6580.375,22411.25
3273.25,6580.375,22411.25
3273.25,6580.375,22411.25
3273.25,6580.375,22411.25
3273.0625,6580.375,22411.4375
3286.0625,6580.375,22398.4375
3286.0625,6580.375,22398.4375
3285.6875,6580.375,22398.8125
3285.5,6580.375,22399.0
3285.5,6580.375,22399.0
3285.3125,6580.375,22399.1875
3290.9375,6580.375,22393.5625
3293.5625,6580.375,22390.9375
3293.5625,6580.375,22390.9375
3293.5625,6580.375,22390.9375
3293.5625,6580.375,22390.9375
3293.5625,6580.375,22390.9375
3293.5625,6580.375,22390.9375
3301.9375,6580.375,22382.5625
3301.9375,6580.375,22382.5625
3303.9375,6580.375,22380.5625
3303.3125,6580.375,22381.1875
3303.125,6580.3125,22381.375
3302.875,6580.375,22381.625
3308.3125,6580.375,22376.1875
3310.75,6580.375,22373.75
3310.375,6580.375,22374.125
3310.25,6580.375,22374.25
3310.4375,6580.375,22374.0625
3310.4375,6580.375,22374.0625
3310.25,6580.375,22374.25
3320.0,6580.375,22364.5
3319.1875,6580.375,22365.3125
3319.1875,6580.375,22365.3125
3319.0,6580.375,22365.5
3318.75,6580.375,22365.625
3318.1875,6580.375,22366.1875
3317.8125,6580.375,22366.5625
3326.8125,6580.4375,22357.5625
3326.6875,6580.4375,22357.6875
3326.6875,6580.4375,22357.6875
3326.6875,6580.4375,22357.6875
3326.625,6580.4375,22357.75
3326.625,6580.4375,22357.75
3331.625,6580.4375,22352.75
3334.25,6580.4375,22350.125
3334.25,6580.4375,22350.125
3334.1875,6580.4375,22350.1875
3334.1875,6580.4375,22350.1875
3334.125,6580.4375,22350.25
3335.5625,6580.4375,22348.8125
3340.8125,6580.5,22343.5625
3343.75,6580.5,22340.5625
3344.9375,6580.5,22339.375
3344.9375,6580.5,22339.375
3352.8125,6580.4375,22331.5
3356.125,6580.5,22328.1875
3354.8125,6580.5,22329.5
3355.0,6580.5,22329.25
3354.6875,6580.5,22329.5625
3354.6875,6580.5,22329.5625
3354.25,6580.5,22330.0
3354.625,6580.5625,22329.625
3354.5625,6580.5625,22329.6875
3354.5625,6580.5625,22329.6875
3358.125,6580.5625,22326.0
3357.9375,6580.5625,22326.1875
3357.875,6580.5625,22326.25
3360.4375,6580.5625,22323.6875
3360.25,6580.5625,22323.875
3360.1875,6580.5,22323.9375
3360.1875,6580.5625,22323.9375
3360.1875,6580.5625,22323.9375
3360.25,6580.5625,22323.875
3360.0625,6580.5625,22324.0625
3360.25,6580.5625,22323.875
3360.25,6580.5625,22323.875
3360.25,6580.625,22323.875
3360.25,6580.625,22323.875
3361.0625,6580.6875,22323.0
3363.0,6580.6875,22321.0
3362.8125,6580.6875,22321.1875
3362.375,6580.6875,22321.625
3362.375,6580.6875,22321.625
3362.3125,6580.625,22321.6875
3362.3125,6580.6875,22321.6875
3362.3125,6580.6875,22321.6875
3362.1875,6580.6875,22321.8125
3362.0,6580.6875,22322.0
3362.0,6580.6875,22322.0
3362.0,6580.6875,22322.0
3362.0,6580.6875,22322.0
3362.1875,6580.6875,22321.8125
3362.0,6580.6875,22322.0
3361.9375,6580.6875,22322.0625
3364.1875,6580.6875,22319.8125
3364.0,6580.6875,22320.0
3363.875,6580.6875,22320.125
3363.9375,6580.75,22320.0625
3364.0625,6580.6875,22319.9375
3364.0625,6580.6875,22319.9375
3364.0625,6580.6875,22319.9375
3364.0625,6580.6875,22319.9375
3364.0625,6580.6875,22319.9375
3364.0625,6580.6875,22319.9375
3364.4375,6580.6875,22319.5625
3364.4375,6580.6875,22319.5625
3364.4375,6580.6875,22319.5625
3364.4375,6580.6875,22319.5625
3364.5625,6580.6875,22319.4375
3364.9375,6580.6875,22319.0625
3365.125,6580.75,22318.875
3364.9375,6580.75,22319.0625
3364.9375,6580.75,22319.0625
3364.9375,6580.75,22319.0625
3364.9375,6580.6875,22319.0625
3365.125,6580.75,22318.875
3364.875,6580.75,22319.125
3365.0625,6580.75,22318.9375
3365.0625,6580.75,22318.9375
3365.0625,6580.75,22318.9375
3365.0625,6580.75,22318.9375
3364.875,6580.75,22319.125
3364.875,6580.75,22319.125
3364.875,6580.75,22319.125
3365.4375,6580.75,22318.3125
3365.4375,6580.75,22318.3125
3365.25,6580.75,22318.5
3365.0625,6580.625,22318.6875
3365.0,6580.75,22318.6875
3365.0,6580.75,22318.6875
3364.9375,6580.75,22318.75
3364.9375,6580.75,22318.75
3364.9375,6580.75,22318.75
3364.75,6580.75,22318.9375
3364.75,6580.75,22318.9375
3365.0,6580.75,22318.625
3365.9375,6580.75,22317.6875
3365.9375,6580.75,22317.6875
3366.25,6580.8125,22317.375
3366.5,6580.8125,22317.125
3366.5,6580.8125,22317.125
3367.0625,6580.8125,22316.5625
3366.9375,6580.8125,22316.6875
3369.125,6580.8125,22314.5
3369.125,6580.8125,22314.5
3369.0,6580.8125,22314.625
3368.8125,6580.8125,22314.8125
3368.8125,6580.875,22314.8125
3368.75,6580.875,22314.875
3368.75,6580.875,22314.875
3371.0,6580.875,22312.625
3371.0,6580.875,22312.625
3371.0,6580.875,22312.625
3370.9375,6580.875,22312.6875
3373.875,6580.875,22309.75
3373.875,6580.875,22309.75
3373.875,6580.8125,22309.75
3389.8125,6139.875,22734.75
